
For query : <DOC>


For query : <DOCNO> 1 </DOCNO>

2 Q0 CACM-1781 1 0.6081283581024886 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1107 2 0.5850407570723225 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1102 3 0.5695499521761662 QueryLikelihoodModelStemNoStop
2 Q0 CACM-911 4 0.537809692584636 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1105 5 0.5312516298655138 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1104 6 0.5023035215051487 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2119 7 0.48496320341839394 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1100 8 0.47592999136430647 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2115 9 0.45003260565785796 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1461 10 0.44201539711621074 QueryLikelihoodModelStemNoStop
2 Q0 CACM-410 11 0.41862085617820854 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1101 12 0.40859135425123067 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2118 13 0.40382501300932816 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1831 14 0.3993246599326002 QueryLikelihoodModelStemNoStop
2 Q0 CACM-919 15 0.39136474145256533 QueryLikelihoodModelStemNoStop
2 Q0 CACM-917 16 0.3900652113157159 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1106 17 0.3851996765886776 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1193 18 0.3851996765886776 QueryLikelihoodModelStemNoStop
2 Q0 CACM-196 19 0.38299270349384357 QueryLikelihoodModelStemNoStop
2 Q0 CACM-915 20 0.3810960712234635 QueryLikelihoodModelStemNoStop
2 Q0 CACM-914 21 0.37783936624262066 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1661 22 0.371446685682937 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1103 23 0.37144306283206385 QueryLikelihoodModelStemNoStop
2 Q0 CACM-3184 24 0.37024248396295967 QueryLikelihoodModelStemNoStop
2 Q0 CACM-411 25 0.3632525026592944 QueryLikelihoodModelStemNoStop
2 Q0 CACM-210 26 0.36198751121104905 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2121 27 0.3611292253654767 QueryLikelihoodModelStemNoStop
2 Q0 CACM-211 28 0.3611246968018853 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2190 29 0.3513694656057169 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1539 30 0.35004437992319554 QueryLikelihoodModelStemNoStop
2 Q0 CACM-191 31 0.34822787140505984 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1945 32 0.3382804061500978 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1 33 0.3382693477277909 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1779 34 0.33651043959489835 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1537 35 0.3358614104275999 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2120 36 0.33316213422144936 QueryLikelihoodModelStemNoStop
2 Q0 CACM-401 37 0.33224305361474255 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1093 38 0.3309344508652026 QueryLikelihoodModelStemNoStop
2 Q0 CACM-123 39 0.33027331764453327 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1467 40 0.32054933499182636 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1626 41 0.31556843426944314 QueryLikelihoodModelStemNoStop
2 Q0 CACM-2156 42 0.3133700352701102 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1660 43 0.31297473722830055 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1883 44 0.3112109698382799 QueryLikelihoodModelStemNoStop
2 Q0 CACM-412 45 0.3108894908971934 QueryLikelihoodModelStemNoStop
2 Q0 CACM-214 46 0.30392870955396184 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1094 47 0.3000108685526194 QueryLikelihoodModelStemNoStop
2 Q0 CACM-91 48 0.2990208313925204 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1771 49 0.2985340097622666 QueryLikelihoodModelStemNoStop
2 Q0 CACM-192 50 0.29455751566883004 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1982 51 0.29308260108475115 QueryLikelihoodModelStemNoStop
2 Q0 CACM-1466 52 0.29251630282892904 QueryLikelihoodModelStemNoStop
