Query: find all discussions of optimal implementations of sort algorithms for database management applications
RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  R  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  R  	  0.250  	  0.600
13  	  R  	  0.308  	  0.800
14  	  R  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  R  	  0.375  	  1.200
17  	  N  	  0.353  	  1.200
18  	  N  	  0.333  	  1.200
19  	  R  	  0.368  	  1.400
20  	  R  	  0.400  	  1.600
21  	  N  	  0.381  	  1.600
22  	  N  	  0.364  	  1.600
23  	  N  	  0.348  	  1.600
24  	  N  	  0.333  	  1.600
25  	  N  	  0.320  	  1.600
26  	  R  	  0.346  	  1.800
27  	  N  	  0.333  	  1.800
28  	  N  	  0.321  	  1.800
29  	  N  	  0.310  	  1.800
30  	  N  	  0.300  	  1.800
31  	  N  	  0.290  	  1.800
32  	  N  	  0.281  	  1.800
33  	  R  	  0.303  	  2.000
34  	  N  	  0.294  	  2.000
35  	  N  	  0.286  	  2.000
36  	  N  	  0.278  	  2.000
37  	  N  	  0.270  	  2.000
38  	  N  	  0.263  	  2.000
39  	  R  	  0.282  	  2.200
40  	  N  	  0.275  	  2.200
41  	  N  	  0.268  	  2.200
42  	  R  	  0.286  	  2.400
43  	  N  	  0.279  	  2.400
44  	  N  	  0.273  	  2.400
45  	  N  	  0.267  	  2.400
46  	  N  	  0.261  	  2.400
47  	  N  	  0.255  	  2.400
48  	  N  	  0.250  	  2.400
49  	  N  	  0.245  	  2.400
50  	  N  	  0.240  	  2.400
51  	  N  	  0.235  	  2.400
52  	  N  	  0.231  	  2.400
53  	  N  	  0.226  	  2.400
54  	  N  	  0.222  	  2.400
55  	  N  	  0.218  	  2.400
56  	  N  	  0.214  	  2.400
57  	  R  	  0.228  	  2.600
58  	  N  	  0.224  	  2.600
59  	  N  	  0.220  	  2.600
60  	  N  	  0.217  	  2.600
61  	  N  	  0.213  	  2.600
62  	  N  	  0.210  	  2.600
63  	  N  	  0.206  	  2.600
64  	  N  	  0.203  	  2.600
65  	  N  	  0.200  	  2.600
66  	  N  	  0.197  	  2.600
67  	  N  	  0.194  	  2.600
68  	  R  	  0.206  	  2.800
69  	  N  	  0.203  	  2.800
70  	  N  	  0.200  	  2.800
71  	  N  	  0.197  	  2.800
72  	  N  	  0.194  	  2.800
73  	  R  	  0.205  	  3.000
74  	  N  	  0.203  	  3.000
75  	  N  	  0.200  	  3.000
76  	  N  	  0.197  	  3.000
77  	  N  	  0.195  	  3.000
78  	  R  	  0.205  	  3.200
79  	  N  	  0.203  	  3.200
80  	  N  	  0.200  	  3.200
81  	  R  	  0.210  	  3.400
82  	  N  	  0.207  	  3.400
83  	  N  	  0.205  	  3.400
84  	  N  	  0.202  	  3.400
85  	  N  	  0.200  	  3.400
86  	  N  	  0.198  	  3.400
87  	  N  	  0.195  	  3.400
88  	  N  	  0.193  	  3.400
89  	  N  	  0.191  	  3.400
90  	  N  	  0.189  	  3.400
91  	  N  	  0.187  	  3.400
92  	  N  	  0.185  	  3.400
93  	  N  	  0.183  	  3.400
94  	  N  	  0.181  	  3.400
95  	  N  	  0.179  	  3.400
96  	  N  	  0.177  	  3.400
97  	  N  	  0.175  	  3.400
98  	  N  	  0.173  	  3.400
99  	  N  	  0.172  	  3.400
100  	  N  	  0.170  	  3.400


Average precision = 0.25368361747950346

Average recall = 2.234000000000001
