Query: algorithms or statistical packages for anova regression using least squares or generalized linear models system design capabilities statistical formula are of interest student s t test wilcoxon and sign tests multivariate and univariate components can be included
RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  N  	  0.278  	  1.000
19  	  N  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  R  	  0.273  	  1.200
23  	  N  	  0.261  	  1.200
24  	  R  	  0.292  	  1.400
25  	  N  	  0.280  	  1.400
26  	  R  	  0.308  	  1.600
27  	  N  	  0.296  	  1.600
28  	  N  	  0.286  	  1.600
29  	  N  	  0.276  	  1.600
30  	  N  	  0.267  	  1.600
31  	  N  	  0.258  	  1.600
32  	  N  	  0.250  	  1.600
33  	  N  	  0.242  	  1.600
34  	  N  	  0.235  	  1.600
35  	  N  	  0.229  	  1.600
36  	  N  	  0.222  	  1.600
37  	  N  	  0.216  	  1.600
38  	  N  	  0.211  	  1.600
39  	  N  	  0.205  	  1.600
40  	  N  	  0.200  	  1.600
41  	  N  	  0.195  	  1.600
42  	  N  	  0.190  	  1.600
43  	  N  	  0.186  	  1.600
44  	  N  	  0.182  	  1.600
45  	  N  	  0.178  	  1.600
46  	  N  	  0.174  	  1.600
47  	  N  	  0.170  	  1.600
48  	  N  	  0.167  	  1.600
49  	  N  	  0.163  	  1.600
50  	  N  	  0.160  	  1.600
51  	  N  	  0.157  	  1.600
52  	  N  	  0.154  	  1.600
53  	  N  	  0.151  	  1.600
54  	  N  	  0.148  	  1.600
55  	  N  	  0.145  	  1.600
56  	  N  	  0.143  	  1.600
57  	  N  	  0.140  	  1.600
58  	  N  	  0.138  	  1.600
59  	  N  	  0.136  	  1.600
60  	  N  	  0.133  	  1.600
61  	  N  	  0.131  	  1.600
62  	  R  	  0.145  	  1.800
63  	  R  	  0.159  	  2.000
64  	  N  	  0.156  	  2.000
65  	  N  	  0.154  	  2.000
66  	  N  	  0.152  	  2.000
67  	  N  	  0.149  	  2.000
68  	  N  	  0.147  	  2.000
69  	  N  	  0.145  	  2.000
70  	  N  	  0.143  	  2.000
71  	  N  	  0.141  	  2.000
72  	  N  	  0.139  	  2.000
73  	  N  	  0.137  	  2.000
74  	  N  	  0.135  	  2.000
75  	  N  	  0.133  	  2.000
76  	  N  	  0.132  	  2.000
77  	  N  	  0.130  	  2.000
78  	  N  	  0.128  	  2.000
79  	  N  	  0.127  	  2.000
80  	  N  	  0.125  	  2.000
81  	  N  	  0.123  	  2.000
82  	  N  	  0.122  	  2.000
83  	  N  	  0.120  	  2.000
84  	  N  	  0.119  	  2.000
85  	  N  	  0.118  	  2.000
86  	  N  	  0.116  	  2.000
87  	  N  	  0.115  	  2.000
88  	  N  	  0.114  	  2.000
89  	  N  	  0.112  	  2.000
90  	  N  	  0.111  	  2.000
91  	  N  	  0.110  	  2.000
92  	  N  	  0.109  	  2.000
93  	  N  	  0.108  	  2.000
94  	  N  	  0.106  	  2.000
95  	  N  	  0.105  	  2.000
96  	  N  	  0.104  	  2.000
97  	  N  	  0.103  	  2.000
98  	  N  	  0.102  	  2.000
99  	  N  	  0.101  	  2.000
100  	  N  	  0.100  	  2.000


Average precision = 0.23202843372719018

Average recall = 1.5839999999999999
