For Query: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  R  	  0.667  	  1.000
10  	  R  	  0.700  	  1.000
11  	  R  	  0.727  	  1.000
12  	  N  	  0.667  	  1.000
13  	  N  	  0.615  	  1.000
14  	  N  	  0.571  	  1.000
15  	  N  	  0.533  	  1.000
16  	  N  	  0.500  	  1.000
17  	  N  	  0.471  	  1.000
18  	  N  	  0.444  	  1.000
19  	  R  	  0.474  	  1.000
20  	  N  	  0.450  	  1.000
21  	  R  	  0.476  	  1.000
22  	  N  	  0.455  	  1.000
23  	  N  	  0.435  	  1.000
24  	  R  	  0.458  	  1.000
25  	  R  	  0.480  	  1.000
26  	  N  	  0.462  	  1.000
27  	  N  	  0.444  	  1.000
28  	  N  	  0.429  	  1.000
29  	  N  	  0.414  	  1.000
30  	  N  	  0.400  	  1.000
31  	  N  	  0.387  	  1.000
32  	  R  	  0.406  	  1.000
33  	  N  	  0.394  	  1.000
34  	  N  	  0.382  	  1.000
35  	  N  	  0.371  	  1.000
36  	  N  	  0.361  	  1.000
37  	  R  	  0.378  	  1.000
38  	  R  	  0.395  	  1.000
39  	  R  	  0.410  	  1.000
40  	  R  	  0.425  	  1.000
41  	  N  	  0.415  	  1.000
42  	  N  	  0.405  	  1.000
43  	  N  	  0.395  	  1.000
44  	  N  	  0.386  	  1.000
45  	  N  	  0.378  	  1.000
46  	  N  	  0.370  	  1.000
47  	  R  	  0.383  	  1.000
48  	  R  	  0.396  	  1.000
49  	  N  	  0.388  	  1.000
50  	  N  	  0.380  	  1.000
51  	  N  	  0.373  	  1.000
52  	  N  	  0.365  	  1.000
53  	  N  	  0.358  	  1.000
54  	  N  	  0.352  	  1.000
55  	  N  	  0.345  	  1.000
56  	  N  	  0.339  	  1.000
57  	  N  	  0.333  	  1.000
58  	  N  	  0.328  	  1.000
59  	  N  	  0.322  	  1.000
60  	  N  	  0.317  	  1.000
61  	  R  	  0.328  	  1.000
62  	  N  	  0.323  	  1.000
63  	  R  	  0.333  	  1.000
64  	  N  	  0.328  	  1.000
65  	  N  	  0.323  	  1.000
66  	  N  	  0.318  	  1.000
67  	  N  	  0.313  	  1.000
68  	  N  	  0.309  	  1.000
69  	  N  	  0.304  	  1.000
70  	  R  	  0.314  	  1.000
71  	  N  	  0.310  	  1.000
72  	  R  	  0.319  	  1.000
73  	  N  	  0.315  	  1.000
74  	  N  	  0.311  	  1.000
75  	  N  	  0.307  	  1.000
76  	  N  	  0.303  	  1.000
77  	  N  	  0.299  	  1.000
78  	  N  	  0.295  	  1.000
79  	  N  	  0.291  	  1.000
80  	  N  	  0.287  	  1.000
81  	  N  	  0.284  	  1.000
82  	  R  	  0.293  	  1.000
83  	  N  	  0.289  	  1.000
84  	  N  	  0.286  	  1.000
85  	  N  	  0.282  	  1.000
86  	  N  	  0.279  	  1.000
87  	  N  	  0.276  	  1.000
88  	  N  	  0.273  	  1.000
89  	  N  	  0.270  	  1.000
90  	  N  	  0.267  	  1.000
91  	  N  	  0.264  	  1.000
92  	  N  	  0.261  	  1.000
93  	  N  	  0.258  	  1.000
94  	  N  	  0.255  	  1.000
95  	  N  	  0.253  	  1.000
96  	  N  	  0.250  	  1.000
97  	  N  	  0.247  	  1.000
98  	  N  	  0.245  	  1.000
99  	  N  	  0.242  	  1.000
100  	  N  	  0.240  	  1.000


Average precision = 0.40076455358933727

Average recall = 0.97
