For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.000
09  	  N  	  0.667  	  1.000
10  	  N  	  0.600  	  1.000
11  	  N  	  0.545  	  1.000
12  	  N  	  0.500  	  1.000
13  	  R  	  0.538  	  1.000
14  	  R  	  0.571  	  1.000
15  	  N  	  0.533  	  1.000
16  	  N  	  0.500  	  1.000
17  	  N  	  0.471  	  1.000
18  	  N  	  0.444  	  1.000
19  	  N  	  0.421  	  1.000
20  	  N  	  0.400  	  1.000
21  	  R  	  0.429  	  1.000
22  	  N  	  0.409  	  1.000
23  	  N  	  0.391  	  1.000
24  	  N  	  0.375  	  1.000
25  	  R  	  0.400  	  1.000
26  	  N  	  0.385  	  1.000
27  	  N  	  0.370  	  1.000
28  	  R  	  0.393  	  1.000
29  	  N  	  0.379  	  1.000
30  	  R  	  0.400  	  1.000
31  	  R  	  0.419  	  1.000
32  	  N  	  0.406  	  1.000
33  	  N  	  0.394  	  1.000
34  	  N  	  0.382  	  1.000
35  	  N  	  0.371  	  1.000
36  	  N  	  0.361  	  1.000
37  	  R  	  0.378  	  1.000
38  	  N  	  0.368  	  1.000
39  	  N  	  0.359  	  1.000
40  	  N  	  0.350  	  1.000
41  	  N  	  0.341  	  1.000
42  	  R  	  0.357  	  1.000
43  	  N  	  0.349  	  1.000
44  	  N  	  0.341  	  1.000
45  	  N  	  0.333  	  1.000
46  	  N  	  0.326  	  1.000
47  	  N  	  0.319  	  1.000
48  	  N  	  0.312  	  1.000
49  	  N  	  0.306  	  1.000
50  	  N  	  0.300  	  1.000
51  	  R  	  0.314  	  1.000
52  	  N  	  0.308  	  1.000
53  	  N  	  0.302  	  1.000
54  	  N  	  0.296  	  1.000
55  	  R  	  0.309  	  1.000
56  	  N  	  0.304  	  1.000
57  	  R  	  0.316  	  1.000
58  	  N  	  0.310  	  1.000
59  	  N  	  0.305  	  1.000
60  	  N  	  0.300  	  1.000
61  	  N  	  0.295  	  1.000
62  	  N  	  0.290  	  1.000
63  	  R  	  0.302  	  1.000
64  	  N  	  0.297  	  1.000
65  	  N  	  0.292  	  1.000
66  	  N  	  0.288  	  1.000
67  	  N  	  0.284  	  1.000
68  	  N  	  0.279  	  1.000
69  	  N  	  0.275  	  1.000
70  	  N  	  0.271  	  1.000
71  	  N  	  0.268  	  1.000
72  	  N  	  0.264  	  1.000
73  	  N  	  0.260  	  1.000
74  	  N  	  0.257  	  1.000
75  	  N  	  0.253  	  1.000
76  	  R  	  0.263  	  1.000
77  	  N  	  0.260  	  1.000
78  	  N  	  0.256  	  1.000
79  	  N  	  0.253  	  1.000
80  	  N  	  0.250  	  1.000
81  	  N  	  0.247  	  1.000
82  	  N  	  0.244  	  1.000
83  	  N  	  0.241  	  1.000
84  	  N  	  0.238  	  1.000
85  	  N  	  0.235  	  1.000
86  	  N  	  0.233  	  1.000
87  	  N  	  0.230  	  1.000
88  	  N  	  0.227  	  1.000
89  	  N  	  0.225  	  1.000
90  	  N  	  0.222  	  1.000
91  	  N  	  0.220  	  1.000
92  	  N  	  0.217  	  1.000
93  	  N  	  0.215  	  1.000
94  	  N  	  0.213  	  1.000
95  	  N  	  0.211  	  1.000
96  	  N  	  0.208  	  1.000
97  	  N  	  0.206  	  1.000
98  	  N  	  0.204  	  1.000
99  	  N  	  0.202  	  1.000
100  	  N  	  0.200  	  1.000


Average precision = 0.3617220717505793

Average recall = 0.972
