For Query: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  R  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  N  	  0.286  	  0.800
15  	  N  	  0.267  	  0.800
16  	  R  	  0.312  	  1.000
17  	  R  	  0.353  	  1.000
18  	  R  	  0.389  	  1.000
19  	  N  	  0.368  	  1.000
20  	  N  	  0.350  	  1.000
21  	  N  	  0.333  	  1.000
22  	  R  	  0.364  	  1.000
23  	  R  	  0.391  	  1.000
24  	  N  	  0.375  	  1.000
25  	  N  	  0.360  	  1.000
26  	  N  	  0.346  	  1.000
27  	  N  	  0.333  	  1.000
28  	  N  	  0.321  	  1.000
29  	  N  	  0.310  	  1.000
30  	  R  	  0.333  	  1.000
31  	  N  	  0.323  	  1.000
32  	  N  	  0.312  	  1.000
33  	  N  	  0.303  	  1.000
34  	  N  	  0.294  	  1.000
35  	  N  	  0.286  	  1.000
36  	  N  	  0.278  	  1.000
37  	  N  	  0.270  	  1.000
38  	  N  	  0.263  	  1.000
39  	  R  	  0.282  	  1.000
40  	  N  	  0.275  	  1.000
41  	  R  	  0.293  	  1.000
42  	  N  	  0.286  	  1.000
43  	  N  	  0.279  	  1.000
44  	  N  	  0.273  	  1.000
45  	  N  	  0.267  	  1.000
46  	  N  	  0.261  	  1.000
47  	  N  	  0.255  	  1.000
48  	  N  	  0.250  	  1.000
49  	  N  	  0.245  	  1.000
50  	  N  	  0.240  	  1.000
51  	  N  	  0.235  	  1.000
52  	  N  	  0.231  	  1.000
53  	  N  	  0.226  	  1.000
54  	  N  	  0.222  	  1.000
55  	  N  	  0.218  	  1.000
56  	  N  	  0.214  	  1.000
57  	  N  	  0.211  	  1.000
58  	  N  	  0.207  	  1.000
59  	  N  	  0.203  	  1.000
60  	  N  	  0.200  	  1.000
61  	  N  	  0.197  	  1.000
62  	  N  	  0.194  	  1.000
63  	  N  	  0.190  	  1.000
64  	  N  	  0.188  	  1.000
65  	  N  	  0.185  	  1.000
66  	  N  	  0.182  	  1.000
67  	  N  	  0.179  	  1.000
68  	  N  	  0.176  	  1.000
69  	  N  	  0.174  	  1.000
70  	  N  	  0.171  	  1.000
71  	  N  	  0.169  	  1.000
72  	  N  	  0.167  	  1.000
73  	  N  	  0.164  	  1.000
74  	  N  	  0.162  	  1.000
75  	  N  	  0.160  	  1.000
76  	  N  	  0.158  	  1.000
77  	  N  	  0.156  	  1.000
78  	  N  	  0.154  	  1.000
79  	  N  	  0.152  	  1.000
80  	  N  	  0.150  	  1.000
81  	  N  	  0.148  	  1.000
82  	  N  	  0.146  	  1.000
83  	  N  	  0.145  	  1.000
84  	  R  	  0.155  	  1.000
85  	  N  	  0.153  	  1.000
86  	  R  	  0.163  	  1.000
87  	  N  	  0.161  	  1.000
88  	  N  	  0.159  	  1.000
89  	  N  	  0.157  	  1.000
90  	  N  	  0.156  	  1.000
91  	  N  	  0.154  	  1.000
92  	  N  	  0.152  	  1.000
93  	  N  	  0.151  	  1.000
94  	  N  	  0.149  	  1.000
95  	  N  	  0.147  	  1.000
96  	  N  	  0.146  	  1.000
97  	  N  	  0.144  	  1.000
98  	  N  	  0.143  	  1.000
99  	  N  	  0.141  	  1.000
100  	  N  	  0.140  	  1.000


Average precision = 0.2691936458657637

Average recall = 0.946
