For Query: what does type compatibility mean in languages that allow programmer defined types you might want to restrict this to extensible languages that allow definition of abstract data types or programmer supplied definitions of operators like

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  N  	  0.250  	  0.600
13  	  N  	  0.231  	  0.600
14  	  N  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  N  	  0.188  	  0.600
17  	  N  	  0.176  	  0.600
18  	  N  	  0.167  	  0.600
19  	  N  	  0.158  	  0.600
20  	  R  	  0.200  	  0.800
21  	  N  	  0.190  	  0.800
22  	  N  	  0.182  	  0.800
23  	  N  	  0.174  	  0.800
24  	  N  	  0.167  	  0.800
25  	  N  	  0.160  	  0.800
26  	  N  	  0.154  	  0.800
27  	  N  	  0.148  	  0.800
28  	  N  	  0.143  	  0.800
29  	  R  	  0.172  	  1.000
30  	  N  	  0.167  	  1.000
31  	  R  	  0.194  	  1.000
32  	  N  	  0.188  	  1.000
33  	  N  	  0.182  	  1.000
34  	  N  	  0.176  	  1.000
35  	  R  	  0.200  	  1.000
36  	  N  	  0.194  	  1.000
37  	  N  	  0.189  	  1.000
38  	  N  	  0.184  	  1.000
39  	  N  	  0.179  	  1.000
40  	  N  	  0.175  	  1.000
41  	  N  	  0.171  	  1.000
42  	  N  	  0.167  	  1.000
43  	  N  	  0.163  	  1.000
44  	  N  	  0.159  	  1.000
45  	  N  	  0.156  	  1.000
46  	  N  	  0.152  	  1.000
47  	  N  	  0.149  	  1.000
48  	  N  	  0.146  	  1.000
49  	  N  	  0.143  	  1.000
50  	  N  	  0.140  	  1.000
51  	  N  	  0.137  	  1.000
52  	  N  	  0.135  	  1.000
53  	  N  	  0.132  	  1.000
54  	  N  	  0.130  	  1.000
55  	  N  	  0.127  	  1.000
56  	  R  	  0.143  	  1.000
57  	  N  	  0.140  	  1.000
58  	  N  	  0.138  	  1.000
59  	  N  	  0.136  	  1.000
60  	  R  	  0.150  	  1.000
61  	  R  	  0.164  	  1.000
62  	  N  	  0.161  	  1.000
63  	  N  	  0.159  	  1.000
64  	  N  	  0.156  	  1.000
65  	  N  	  0.154  	  1.000
66  	  N  	  0.152  	  1.000
67  	  N  	  0.149  	  1.000
68  	  N  	  0.147  	  1.000
69  	  N  	  0.145  	  1.000
70  	  N  	  0.143  	  1.000
71  	  N  	  0.141  	  1.000
72  	  N  	  0.139  	  1.000
73  	  N  	  0.137  	  1.000
74  	  N  	  0.135  	  1.000
75  	  N  	  0.133  	  1.000
76  	  N  	  0.132  	  1.000
77  	  N  	  0.130  	  1.000
78  	  N  	  0.128  	  1.000
79  	  N  	  0.127  	  1.000
80  	  N  	  0.125  	  1.000
81  	  N  	  0.123  	  1.000
82  	  N  	  0.122  	  1.000
83  	  N  	  0.120  	  1.000
84  	  N  	  0.119  	  1.000
85  	  N  	  0.118  	  1.000
86  	  N  	  0.116  	  1.000
87  	  N  	  0.115  	  1.000
88  	  N  	  0.114  	  1.000
89  	  N  	  0.112  	  1.000
90  	  N  	  0.111  	  1.000
91  	  N  	  0.110  	  1.000
92  	  N  	  0.109  	  1.000
93  	  R  	  0.118  	  1.000
94  	  N  	  0.117  	  1.000
95  	  N  	  0.116  	  1.000
96  	  N  	  0.115  	  1.000
97  	  N  	  0.113  	  1.000
98  	  N  	  0.112  	  1.000
99  	  N  	  0.111  	  1.000
100  	  N  	  0.110  	  1.000


Average precision = 0.17898595993008792

Average recall = 0.8859999999999999
