For Query: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  R  	  0.375  	  0.600
09  	  R  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  R  	  0.333  	  1.000
19  	  R  	  0.368  	  1.000
20  	  N  	  0.350  	  1.000
21  	  R  	  0.381  	  1.000
22  	  N  	  0.364  	  1.000
23  	  N  	  0.348  	  1.000
24  	  R  	  0.375  	  1.000
25  	  N  	  0.360  	  1.000
26  	  N  	  0.346  	  1.000
27  	  N  	  0.333  	  1.000
28  	  N  	  0.321  	  1.000
29  	  N  	  0.310  	  1.000
30  	  N  	  0.300  	  1.000
31  	  R  	  0.323  	  1.000
32  	  N  	  0.312  	  1.000
33  	  N  	  0.303  	  1.000
34  	  N  	  0.294  	  1.000
35  	  N  	  0.286  	  1.000
36  	  N  	  0.278  	  1.000
37  	  N  	  0.270  	  1.000
38  	  R  	  0.289  	  1.000
39  	  N  	  0.282  	  1.000
40  	  N  	  0.275  	  1.000
41  	  R  	  0.293  	  1.000
42  	  R  	  0.310  	  1.000
43  	  N  	  0.302  	  1.000
44  	  N  	  0.295  	  1.000
45  	  N  	  0.289  	  1.000
46  	  R  	  0.304  	  1.000
47  	  R  	  0.319  	  1.000
48  	  N  	  0.312  	  1.000
49  	  N  	  0.306  	  1.000
50  	  N  	  0.300  	  1.000
51  	  N  	  0.294  	  1.000
52  	  N  	  0.288  	  1.000
53  	  N  	  0.283  	  1.000
54  	  N  	  0.278  	  1.000
55  	  N  	  0.273  	  1.000
56  	  N  	  0.268  	  1.000
57  	  N  	  0.263  	  1.000
58  	  N  	  0.259  	  1.000
59  	  N  	  0.254  	  1.000
60  	  N  	  0.250  	  1.000
61  	  N  	  0.246  	  1.000
62  	  N  	  0.242  	  1.000
63  	  N  	  0.238  	  1.000
64  	  N  	  0.234  	  1.000
65  	  N  	  0.231  	  1.000
66  	  N  	  0.227  	  1.000
67  	  N  	  0.224  	  1.000
68  	  N  	  0.221  	  1.000
69  	  N  	  0.217  	  1.000
70  	  N  	  0.214  	  1.000
71  	  N  	  0.211  	  1.000
72  	  N  	  0.208  	  1.000
73  	  N  	  0.205  	  1.000
74  	  N  	  0.203  	  1.000
75  	  N  	  0.200  	  1.000
76  	  N  	  0.197  	  1.000
77  	  N  	  0.195  	  1.000
78  	  N  	  0.192  	  1.000
79  	  N  	  0.190  	  1.000
80  	  N  	  0.188  	  1.000
81  	  N  	  0.185  	  1.000
82  	  N  	  0.183  	  1.000
83  	  N  	  0.181  	  1.000
84  	  N  	  0.179  	  1.000
85  	  N  	  0.176  	  1.000
86  	  N  	  0.174  	  1.000
87  	  N  	  0.172  	  1.000
88  	  N  	  0.170  	  1.000
89  	  N  	  0.169  	  1.000
90  	  N  	  0.167  	  1.000
91  	  N  	  0.165  	  1.000
92  	  N  	  0.163  	  1.000
93  	  N  	  0.161  	  1.000
94  	  R  	  0.170  	  1.000
95  	  N  	  0.168  	  1.000
96  	  N  	  0.167  	  1.000
97  	  N  	  0.165  	  1.000
98  	  N  	  0.163  	  1.000
99  	  N  	  0.162  	  1.000
100  	  N  	  0.160  	  1.000


Average precision = 0.26703465734868825

Average recall = 0.94
