For Query: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.000
07  	  R  	  1.000  	  1.000
08  	  R  	  1.000  	  1.000
09  	  R  	  1.000  	  1.000
10  	  R  	  1.000  	  1.000
11  	  N  	  0.909  	  1.000
12  	  N  	  0.833  	  1.000
13  	  N  	  0.769  	  1.000
14  	  N  	  0.714  	  1.000
15  	  R  	  0.733  	  1.000
16  	  N  	  0.688  	  1.000
17  	  N  	  0.647  	  1.000
18  	  R  	  0.667  	  1.000
19  	  N  	  0.632  	  1.000
20  	  N  	  0.600  	  1.000
21  	  N  	  0.571  	  1.000
22  	  N  	  0.545  	  1.000
23  	  N  	  0.522  	  1.000
24  	  N  	  0.500  	  1.000
25  	  N  	  0.480  	  1.000
26  	  N  	  0.462  	  1.000
27  	  N  	  0.444  	  1.000
28  	  R  	  0.464  	  1.000
29  	  R  	  0.483  	  1.000
30  	  R  	  0.500  	  1.000
31  	  R  	  0.516  	  1.000
32  	  N  	  0.500  	  1.000
33  	  N  	  0.485  	  1.000
34  	  R  	  0.500  	  1.000
35  	  N  	  0.486  	  1.000
36  	  N  	  0.472  	  1.000
37  	  N  	  0.459  	  1.000
38  	  N  	  0.447  	  1.000
39  	  N  	  0.436  	  1.000
40  	  N  	  0.425  	  1.000
41  	  R  	  0.439  	  1.000
42  	  N  	  0.429  	  1.000
43  	  N  	  0.419  	  1.000
44  	  N  	  0.409  	  1.000
45  	  R  	  0.422  	  1.000
46  	  R  	  0.435  	  1.000
47  	  R  	  0.447  	  1.000
48  	  N  	  0.438  	  1.000
49  	  N  	  0.429  	  1.000
50  	  N  	  0.420  	  1.000
51  	  N  	  0.412  	  1.000
52  	  N  	  0.404  	  1.000
53  	  N  	  0.396  	  1.000
54  	  N  	  0.389  	  1.000
55  	  R  	  0.400  	  1.000
56  	  N  	  0.393  	  1.000
57  	  N  	  0.386  	  1.000
58  	  N  	  0.379  	  1.000
59  	  N  	  0.373  	  1.000
60  	  N  	  0.367  	  1.000
61  	  N  	  0.361  	  1.000
62  	  N  	  0.355  	  1.000
63  	  N  	  0.349  	  1.000
64  	  N  	  0.344  	  1.000
65  	  N  	  0.338  	  1.000
66  	  N  	  0.333  	  1.000
67  	  N  	  0.328  	  1.000
68  	  N  	  0.324  	  1.000
69  	  N  	  0.319  	  1.000
70  	  N  	  0.314  	  1.000
71  	  N  	  0.310  	  1.000
72  	  N  	  0.306  	  1.000
73  	  N  	  0.301  	  1.000
74  	  N  	  0.297  	  1.000
75  	  N  	  0.293  	  1.000
76  	  N  	  0.289  	  1.000
77  	  N  	  0.286  	  1.000
78  	  N  	  0.282  	  1.000
79  	  N  	  0.278  	  1.000
80  	  R  	  0.287  	  1.000
81  	  N  	  0.284  	  1.000
82  	  N  	  0.280  	  1.000
83  	  N  	  0.277  	  1.000
84  	  N  	  0.274  	  1.000
85  	  N  	  0.271  	  1.000
86  	  N  	  0.267  	  1.000
87  	  N  	  0.264  	  1.000
88  	  N  	  0.261  	  1.000
89  	  N  	  0.258  	  1.000
90  	  N  	  0.256  	  1.000
91  	  N  	  0.253  	  1.000
92  	  N  	  0.250  	  1.000
93  	  N  	  0.247  	  1.000
94  	  N  	  0.245  	  1.000
95  	  N  	  0.242  	  1.000
96  	  N  	  0.240  	  1.000
97  	  N  	  0.237  	  1.000
98  	  N  	  0.235  	  1.000
99  	  N  	  0.232  	  1.000
100  	  N  	  0.230  	  1.000


Average precision = 0.464735046038675

Average recall = 0.98
