For Query: languages and compilers for parallel processors especially highly horizontal microcoded machines code compaction

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  N  	  0.071  	  0.200
15  	  R  	  0.133  	  0.400
16  	  N  	  0.125  	  0.400
17  	  N  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  N  	  0.083  	  0.400
25  	  N  	  0.080  	  0.400
26  	  N  	  0.077  	  0.400
27  	  N  	  0.074  	  0.400
28  	  N  	  0.071  	  0.400
29  	  N  	  0.069  	  0.400
30  	  N  	  0.067  	  0.400
31  	  N  	  0.065  	  0.400
32  	  N  	  0.062  	  0.400
33  	  N  	  0.061  	  0.400
34  	  R  	  0.088  	  0.600
35  	  N  	  0.086  	  0.600
36  	  N  	  0.083  	  0.600
37  	  N  	  0.081  	  0.600
38  	  N  	  0.079  	  0.600
39  	  N  	  0.077  	  0.600
40  	  N  	  0.075  	  0.600
41  	  N  	  0.073  	  0.600
42  	  N  	  0.071  	  0.600
43  	  N  	  0.070  	  0.600
44  	  N  	  0.068  	  0.600
45  	  N  	  0.067  	  0.600
46  	  N  	  0.065  	  0.600
47  	  N  	  0.064  	  0.600
48  	  R  	  0.083  	  0.800
49  	  N  	  0.082  	  0.800
50  	  N  	  0.080  	  0.800
51  	  N  	  0.078  	  0.800
52  	  R  	  0.096  	  1.000
53  	  N  	  0.094  	  1.000
54  	  R  	  0.111  	  1.000
55  	  N  	  0.109  	  1.000
56  	  N  	  0.107  	  1.000
57  	  N  	  0.105  	  1.000
58  	  N  	  0.103  	  1.000
59  	  N  	  0.102  	  1.000
60  	  N  	  0.100  	  1.000
61  	  N  	  0.098  	  1.000
62  	  N  	  0.097  	  1.000
63  	  N  	  0.095  	  1.000
64  	  N  	  0.094  	  1.000
65  	  N  	  0.092  	  1.000
66  	  N  	  0.091  	  1.000
67  	  N  	  0.090  	  1.000
68  	  N  	  0.088  	  1.000
69  	  N  	  0.087  	  1.000
70  	  N  	  0.086  	  1.000
71  	  N  	  0.085  	  1.000
72  	  N  	  0.083  	  1.000
73  	  N  	  0.082  	  1.000
74  	  N  	  0.081  	  1.000
75  	  N  	  0.080  	  1.000
76  	  N  	  0.079  	  1.000
77  	  N  	  0.078  	  1.000
78  	  N  	  0.077  	  1.000
79  	  N  	  0.076  	  1.000
80  	  N  	  0.075  	  1.000
81  	  N  	  0.074  	  1.000
82  	  N  	  0.073  	  1.000
83  	  N  	  0.072  	  1.000
84  	  R  	  0.083  	  1.000
85  	  N  	  0.082  	  1.000
86  	  N  	  0.081  	  1.000
87  	  N  	  0.080  	  1.000
88  	  N  	  0.080  	  1.000
89  	  N  	  0.079  	  1.000
90  	  N  	  0.078  	  1.000
91  	  N  	  0.077  	  1.000
92  	  N  	  0.076  	  1.000
93  	  N  	  0.075  	  1.000
94  	  N  	  0.074  	  1.000
95  	  N  	  0.074  	  1.000
96  	  N  	  0.073  	  1.000
97  	  N  	  0.072  	  1.000
98  	  N  	  0.071  	  1.000
99  	  N  	  0.071  	  1.000
100  	  N  	  0.070  	  1.000


Average precision = 0.07626556646103827

Average recall = 0.6920000000000001
