For Query: number theoretic algorithms especially involving prime number series sieves and chinese remainder theorem

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  R  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  R  	  0.400  	  1.000
16  	  R  	  0.438  	  1.000
17  	  R  	  0.471  	  1.000
18  	  N  	  0.444  	  1.000
19  	  N  	  0.421  	  1.000
20  	  N  	  0.400  	  1.000
21  	  N  	  0.381  	  1.000
22  	  N  	  0.364  	  1.000
23  	  N  	  0.348  	  1.000
24  	  N  	  0.333  	  1.000
25  	  N  	  0.320  	  1.000
26  	  N  	  0.308  	  1.000
27  	  N  	  0.296  	  1.000
28  	  N  	  0.286  	  1.000
29  	  N  	  0.276  	  1.000
30  	  N  	  0.267  	  1.000
31  	  N  	  0.258  	  1.000
32  	  N  	  0.250  	  1.000
33  	  N  	  0.242  	  1.000
34  	  N  	  0.235  	  1.000
35  	  R  	  0.257  	  1.000
36  	  N  	  0.250  	  1.000
37  	  N  	  0.243  	  1.000
38  	  N  	  0.237  	  1.000
39  	  N  	  0.231  	  1.000
40  	  N  	  0.225  	  1.000
41  	  N  	  0.220  	  1.000
42  	  N  	  0.214  	  1.000
43  	  N  	  0.209  	  1.000
44  	  N  	  0.205  	  1.000
45  	  N  	  0.200  	  1.000
46  	  N  	  0.196  	  1.000
47  	  N  	  0.191  	  1.000
48  	  N  	  0.188  	  1.000
49  	  N  	  0.184  	  1.000
50  	  N  	  0.180  	  1.000
51  	  N  	  0.176  	  1.000
52  	  N  	  0.173  	  1.000
53  	  N  	  0.170  	  1.000
54  	  N  	  0.167  	  1.000
55  	  N  	  0.164  	  1.000
56  	  N  	  0.161  	  1.000
57  	  N  	  0.158  	  1.000
58  	  N  	  0.155  	  1.000
59  	  N  	  0.153  	  1.000
60  	  R  	  0.167  	  1.000
61  	  N  	  0.164  	  1.000
62  	  N  	  0.161  	  1.000
63  	  N  	  0.159  	  1.000
64  	  N  	  0.156  	  1.000
65  	  N  	  0.154  	  1.000
66  	  N  	  0.152  	  1.000
67  	  N  	  0.149  	  1.000
68  	  N  	  0.147  	  1.000
69  	  N  	  0.145  	  1.000
70  	  N  	  0.143  	  1.000
71  	  N  	  0.141  	  1.000
72  	  N  	  0.139  	  1.000
73  	  N  	  0.137  	  1.000
74  	  N  	  0.135  	  1.000
75  	  N  	  0.133  	  1.000
76  	  N  	  0.132  	  1.000
77  	  N  	  0.130  	  1.000
78  	  N  	  0.128  	  1.000
79  	  N  	  0.127  	  1.000
80  	  N  	  0.125  	  1.000
81  	  N  	  0.123  	  1.000
82  	  N  	  0.122  	  1.000
83  	  N  	  0.120  	  1.000
84  	  N  	  0.119  	  1.000
85  	  N  	  0.118  	  1.000
86  	  N  	  0.116  	  1.000
87  	  N  	  0.115  	  1.000
88  	  N  	  0.114  	  1.000
89  	  N  	  0.112  	  1.000
90  	  N  	  0.111  	  1.000
91  	  N  	  0.110  	  1.000
92  	  N  	  0.109  	  1.000
93  	  N  	  0.108  	  1.000
94  	  R  	  0.117  	  1.000
95  	  N  	  0.116  	  1.000
96  	  N  	  0.115  	  1.000
97  	  N  	  0.113  	  1.000
98  	  N  	  0.112  	  1.000
99  	  N  	  0.111  	  1.000
100  	  N  	  0.110  	  1.000


Average precision = 0.24079512967534236

Average recall = 0.9640000000000001
