For Query: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  N  	  0.071  	  0.200
15  	  N  	  0.067  	  0.200
16  	  N  	  0.062  	  0.200
17  	  R  	  0.118  	  0.400
18  	  N  	  0.111  	  0.400
19  	  N  	  0.105  	  0.400
20  	  N  	  0.100  	  0.400
21  	  N  	  0.095  	  0.400
22  	  N  	  0.091  	  0.400
23  	  N  	  0.087  	  0.400
24  	  R  	  0.125  	  0.600
25  	  N  	  0.120  	  0.600
26  	  N  	  0.115  	  0.600
27  	  R  	  0.148  	  0.800
28  	  N  	  0.143  	  0.800
29  	  N  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  R  	  0.161  	  1.000
32  	  N  	  0.156  	  1.000
33  	  R  	  0.182  	  1.000
34  	  N  	  0.176  	  1.000
35  	  N  	  0.171  	  1.000
36  	  N  	  0.167  	  1.000
37  	  R  	  0.189  	  1.000
38  	  N  	  0.184  	  1.000
39  	  N  	  0.179  	  1.000
40  	  N  	  0.175  	  1.000
41  	  N  	  0.171  	  1.000
42  	  N  	  0.167  	  1.000
43  	  N  	  0.163  	  1.000
44  	  N  	  0.159  	  1.000
45  	  N  	  0.156  	  1.000
46  	  N  	  0.152  	  1.000
47  	  N  	  0.149  	  1.000
48  	  N  	  0.146  	  1.000
49  	  N  	  0.143  	  1.000
50  	  N  	  0.140  	  1.000
51  	  N  	  0.137  	  1.000
52  	  N  	  0.135  	  1.000
53  	  N  	  0.132  	  1.000
54  	  N  	  0.130  	  1.000
55  	  N  	  0.127  	  1.000
56  	  N  	  0.125  	  1.000
57  	  N  	  0.123  	  1.000
58  	  N  	  0.121  	  1.000
59  	  R  	  0.136  	  1.000
60  	  N  	  0.133  	  1.000
61  	  N  	  0.131  	  1.000
62  	  N  	  0.129  	  1.000
63  	  N  	  0.127  	  1.000
64  	  N  	  0.125  	  1.000
65  	  N  	  0.123  	  1.000
66  	  R  	  0.136  	  1.000
67  	  N  	  0.134  	  1.000
68  	  N  	  0.132  	  1.000
69  	  N  	  0.130  	  1.000
70  	  N  	  0.129  	  1.000
71  	  N  	  0.127  	  1.000
72  	  R  	  0.139  	  1.000
73  	  N  	  0.137  	  1.000
74  	  N  	  0.135  	  1.000
75  	  N  	  0.133  	  1.000
76  	  N  	  0.132  	  1.000
77  	  N  	  0.130  	  1.000
78  	  N  	  0.128  	  1.000
79  	  N  	  0.127  	  1.000
80  	  N  	  0.125  	  1.000
81  	  N  	  0.123  	  1.000
82  	  N  	  0.122  	  1.000
83  	  R  	  0.133  	  1.000
84  	  N  	  0.131  	  1.000
85  	  N  	  0.129  	  1.000
86  	  N  	  0.128  	  1.000
87  	  N  	  0.126  	  1.000
88  	  N  	  0.125  	  1.000
89  	  N  	  0.124  	  1.000
90  	  N  	  0.122  	  1.000
91  	  N  	  0.121  	  1.000
92  	  N  	  0.120  	  1.000
93  	  N  	  0.118  	  1.000
94  	  N  	  0.117  	  1.000
95  	  N  	  0.116  	  1.000
96  	  N  	  0.115  	  1.000
97  	  N  	  0.113  	  1.000
98  	  N  	  0.112  	  1.000
99  	  N  	  0.111  	  1.000
100  	  N  	  0.110  	  1.000


Average precision = 0.13621199492930905

Average recall = 0.8080000000000002
