For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  R  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  R  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  R  	  0.357  	  1.000
15  	  R  	  0.400  	  1.000
16  	  N  	  0.375  	  1.000
17  	  N  	  0.353  	  1.000
18  	  R  	  0.389  	  1.000
19  	  N  	  0.368  	  1.000
20  	  N  	  0.350  	  1.000
21  	  R  	  0.381  	  1.000
22  	  N  	  0.364  	  1.000
23  	  N  	  0.348  	  1.000
24  	  N  	  0.333  	  1.000
25  	  R  	  0.360  	  1.000
26  	  R  	  0.385  	  1.000
27  	  N  	  0.370  	  1.000
28  	  N  	  0.357  	  1.000
29  	  N  	  0.345  	  1.000
30  	  N  	  0.333  	  1.000
31  	  R  	  0.355  	  1.000
32  	  R  	  0.375  	  1.000
33  	  R  	  0.394  	  1.000
34  	  N  	  0.382  	  1.000
35  	  N  	  0.371  	  1.000
36  	  R  	  0.389  	  1.000
37  	  N  	  0.378  	  1.000
38  	  N  	  0.368  	  1.000
39  	  N  	  0.359  	  1.000
40  	  N  	  0.350  	  1.000
41  	  N  	  0.341  	  1.000
42  	  N  	  0.333  	  1.000
43  	  N  	  0.326  	  1.000
44  	  N  	  0.318  	  1.000
45  	  N  	  0.311  	  1.000
46  	  R  	  0.326  	  1.000
47  	  N  	  0.319  	  1.000
48  	  R  	  0.333  	  1.000
49  	  N  	  0.327  	  1.000
50  	  N  	  0.320  	  1.000
51  	  N  	  0.314  	  1.000
52  	  N  	  0.308  	  1.000
53  	  N  	  0.302  	  1.000
54  	  N  	  0.296  	  1.000
55  	  R  	  0.309  	  1.000
56  	  N  	  0.304  	  1.000
57  	  N  	  0.298  	  1.000
58  	  N  	  0.293  	  1.000
59  	  N  	  0.288  	  1.000
60  	  N  	  0.283  	  1.000
61  	  N  	  0.279  	  1.000
62  	  N  	  0.274  	  1.000
63  	  N  	  0.270  	  1.000
64  	  N  	  0.266  	  1.000
65  	  N  	  0.262  	  1.000
66  	  N  	  0.258  	  1.000
67  	  N  	  0.254  	  1.000
68  	  N  	  0.250  	  1.000
69  	  N  	  0.246  	  1.000
70  	  N  	  0.243  	  1.000
71  	  N  	  0.239  	  1.000
72  	  N  	  0.236  	  1.000
73  	  N  	  0.233  	  1.000
74  	  N  	  0.230  	  1.000
75  	  N  	  0.227  	  1.000
76  	  N  	  0.224  	  1.000
77  	  R  	  0.234  	  1.000
78  	  N  	  0.231  	  1.000
79  	  N  	  0.228  	  1.000
80  	  N  	  0.225  	  1.000
81  	  R  	  0.235  	  1.000
82  	  N  	  0.232  	  1.000
83  	  N  	  0.229  	  1.000
84  	  N  	  0.226  	  1.000
85  	  N  	  0.224  	  1.000
86  	  N  	  0.221  	  1.000
87  	  N  	  0.218  	  1.000
88  	  N  	  0.216  	  1.000
89  	  N  	  0.213  	  1.000
90  	  R  	  0.222  	  1.000
91  	  R  	  0.231  	  1.000
92  	  N  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  N  	  0.212  	  1.000
100  	  N  	  0.210  	  1.000


Average precision = 0.3096641457505199

Average recall = 0.932
