For Query: fast algorithm for context free language recognition or parsing

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  R  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  R  	  0.375  	  0.600
09  	  R  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  R  	  0.385  	  1.000
14  	  R  	  0.429  	  1.000
15  	  N  	  0.400  	  1.000
16  	  N  	  0.375  	  1.000
17  	  R  	  0.412  	  1.000
18  	  R  	  0.444  	  1.000
19  	  N  	  0.421  	  1.000
20  	  R  	  0.450  	  1.000
21  	  R  	  0.476  	  1.000
22  	  N  	  0.455  	  1.000
23  	  N  	  0.435  	  1.000
24  	  N  	  0.417  	  1.000
25  	  N  	  0.400  	  1.000
26  	  R  	  0.423  	  1.000
27  	  N  	  0.407  	  1.000
28  	  N  	  0.393  	  1.000
29  	  N  	  0.379  	  1.000
30  	  R  	  0.400  	  1.000
31  	  N  	  0.387  	  1.000
32  	  N  	  0.375  	  1.000
33  	  N  	  0.364  	  1.000
34  	  N  	  0.353  	  1.000
35  	  R  	  0.371  	  1.000
36  	  N  	  0.361  	  1.000
37  	  N  	  0.351  	  1.000
38  	  N  	  0.342  	  1.000
39  	  R  	  0.359  	  1.000
40  	  N  	  0.350  	  1.000
41  	  N  	  0.341  	  1.000
42  	  N  	  0.333  	  1.000
43  	  N  	  0.326  	  1.000
44  	  R  	  0.341  	  1.000
45  	  N  	  0.333  	  1.000
46  	  N  	  0.326  	  1.000
47  	  N  	  0.319  	  1.000
48  	  N  	  0.312  	  1.000
49  	  N  	  0.306  	  1.000
50  	  N  	  0.300  	  1.000
51  	  N  	  0.294  	  1.000
52  	  N  	  0.288  	  1.000
53  	  N  	  0.283  	  1.000
54  	  N  	  0.278  	  1.000
55  	  N  	  0.273  	  1.000
56  	  N  	  0.268  	  1.000
57  	  N  	  0.263  	  1.000
58  	  N  	  0.259  	  1.000
59  	  R  	  0.271  	  1.000
60  	  N  	  0.267  	  1.000
61  	  N  	  0.262  	  1.000
62  	  N  	  0.258  	  1.000
63  	  R  	  0.270  	  1.000
64  	  N  	  0.266  	  1.000
65  	  N  	  0.262  	  1.000
66  	  N  	  0.258  	  1.000
67  	  N  	  0.254  	  1.000
68  	  N  	  0.250  	  1.000
69  	  N  	  0.246  	  1.000
70  	  N  	  0.243  	  1.000
71  	  N  	  0.239  	  1.000
72  	  N  	  0.236  	  1.000
73  	  N  	  0.233  	  1.000
74  	  N  	  0.230  	  1.000
75  	  N  	  0.227  	  1.000
76  	  N  	  0.224  	  1.000
77  	  N  	  0.221  	  1.000
78  	  N  	  0.218  	  1.000
79  	  N  	  0.215  	  1.000
80  	  N  	  0.212  	  1.000
81  	  N  	  0.210  	  1.000
82  	  N  	  0.207  	  1.000
83  	  N  	  0.205  	  1.000
84  	  N  	  0.202  	  1.000
85  	  N  	  0.200  	  1.000
86  	  N  	  0.198  	  1.000
87  	  N  	  0.195  	  1.000
88  	  N  	  0.193  	  1.000
89  	  N  	  0.191  	  1.000
90  	  N  	  0.189  	  1.000
91  	  N  	  0.187  	  1.000
92  	  N  	  0.185  	  1.000
93  	  N  	  0.183  	  1.000
94  	  N  	  0.181  	  1.000
95  	  N  	  0.179  	  1.000
96  	  N  	  0.177  	  1.000
97  	  N  	  0.175  	  1.000
98  	  N  	  0.173  	  1.000
99  	  N  	  0.172  	  1.000
100  	  N  	  0.170  	  1.000


Average precision = 0.2945989483606575

Average recall = 0.9359999999999999
