For Query: computer performance evaluation techniques using pattern recognition and clustering la 70803

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  R  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  N  	  0.077  	  0.200
14  	  R  	  0.143  	  0.400
15  	  R  	  0.200  	  0.600
16  	  R  	  0.250  	  0.800
17  	  N  	  0.235  	  0.800
18  	  N  	  0.222  	  0.800
19  	  N  	  0.211  	  0.800
20  	  N  	  0.200  	  0.800
21  	  N  	  0.190  	  0.800
22  	  N  	  0.182  	  0.800
23  	  N  	  0.174  	  0.800
24  	  N  	  0.167  	  0.800
25  	  N  	  0.160  	  0.800
26  	  R  	  0.192  	  1.000
27  	  N  	  0.185  	  1.000
28  	  N  	  0.179  	  1.000
29  	  N  	  0.172  	  1.000
30  	  N  	  0.167  	  1.000
31  	  N  	  0.161  	  1.000
32  	  N  	  0.156  	  1.000
33  	  N  	  0.152  	  1.000
34  	  R  	  0.176  	  1.000
35  	  N  	  0.171  	  1.000
36  	  N  	  0.167  	  1.000
37  	  N  	  0.162  	  1.000
38  	  N  	  0.158  	  1.000
39  	  N  	  0.154  	  1.000
40  	  N  	  0.150  	  1.000
41  	  N  	  0.146  	  1.000
42  	  N  	  0.143  	  1.000
43  	  N  	  0.140  	  1.000
44  	  N  	  0.136  	  1.000
45  	  N  	  0.133  	  1.000
46  	  N  	  0.130  	  1.000
47  	  N  	  0.128  	  1.000
48  	  N  	  0.125  	  1.000
49  	  N  	  0.122  	  1.000
50  	  N  	  0.120  	  1.000
51  	  R  	  0.137  	  1.000
52  	  N  	  0.135  	  1.000
53  	  N  	  0.132  	  1.000
54  	  R  	  0.148  	  1.000
55  	  N  	  0.145  	  1.000
56  	  N  	  0.143  	  1.000
57  	  N  	  0.140  	  1.000
58  	  N  	  0.138  	  1.000
59  	  N  	  0.136  	  1.000
60  	  N  	  0.133  	  1.000
61  	  N  	  0.131  	  1.000
62  	  N  	  0.129  	  1.000
63  	  N  	  0.127  	  1.000
64  	  N  	  0.125  	  1.000
65  	  N  	  0.123  	  1.000
66  	  N  	  0.121  	  1.000
67  	  N  	  0.119  	  1.000
68  	  N  	  0.118  	  1.000
69  	  N  	  0.116  	  1.000
70  	  N  	  0.114  	  1.000
71  	  N  	  0.113  	  1.000
72  	  N  	  0.111  	  1.000
73  	  N  	  0.110  	  1.000
74  	  R  	  0.122  	  1.000
75  	  N  	  0.120  	  1.000
76  	  N  	  0.118  	  1.000
77  	  N  	  0.117  	  1.000
78  	  N  	  0.115  	  1.000
79  	  N  	  0.114  	  1.000
80  	  N  	  0.113  	  1.000
81  	  R  	  0.123  	  1.000
82  	  N  	  0.122  	  1.000
83  	  N  	  0.120  	  1.000
84  	  N  	  0.119  	  1.000
85  	  N  	  0.118  	  1.000
86  	  N  	  0.116  	  1.000
87  	  N  	  0.115  	  1.000
88  	  N  	  0.114  	  1.000
89  	  N  	  0.112  	  1.000
90  	  N  	  0.111  	  1.000
91  	  N  	  0.110  	  1.000
92  	  N  	  0.109  	  1.000
93  	  N  	  0.108  	  1.000
94  	  N  	  0.106  	  1.000
95  	  N  	  0.105  	  1.000
96  	  N  	  0.104  	  1.000
97  	  N  	  0.103  	  1.000
98  	  N  	  0.102  	  1.000
99  	  N  	  0.101  	  1.000
100  	  N  	  0.100  	  1.000


Average precision = 0.12494020167802919

Average recall = 0.848
