For Query: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  R  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  N  	  0.286  	  0.800
15  	  N  	  0.267  	  0.800
16  	  N  	  0.250  	  0.800
17  	  N  	  0.235  	  0.800
18  	  N  	  0.222  	  0.800
19  	  R  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  N  	  0.227  	  1.000
23  	  R  	  0.261  	  1.000
24  	  N  	  0.250  	  1.000
25  	  N  	  0.240  	  1.000
26  	  N  	  0.231  	  1.000
27  	  N  	  0.222  	  1.000
28  	  N  	  0.214  	  1.000
29  	  N  	  0.207  	  1.000
30  	  N  	  0.200  	  1.000
31  	  N  	  0.194  	  1.000
32  	  N  	  0.188  	  1.000
33  	  N  	  0.182  	  1.000
34  	  N  	  0.176  	  1.000
35  	  N  	  0.171  	  1.000
36  	  N  	  0.167  	  1.000
37  	  N  	  0.162  	  1.000
38  	  N  	  0.158  	  1.000
39  	  N  	  0.154  	  1.000
40  	  N  	  0.150  	  1.000
41  	  N  	  0.146  	  1.000
42  	  N  	  0.143  	  1.000
43  	  N  	  0.140  	  1.000
44  	  N  	  0.136  	  1.000
45  	  R  	  0.156  	  1.000
46  	  N  	  0.152  	  1.000
47  	  N  	  0.149  	  1.000
48  	  R  	  0.167  	  1.000
49  	  N  	  0.163  	  1.000
50  	  N  	  0.160  	  1.000
51  	  R  	  0.176  	  1.000
52  	  N  	  0.173  	  1.000
53  	  R  	  0.189  	  1.000
54  	  N  	  0.185  	  1.000
55  	  R  	  0.200  	  1.000
56  	  N  	  0.196  	  1.000
57  	  R  	  0.211  	  1.000
58  	  N  	  0.207  	  1.000
59  	  N  	  0.203  	  1.000
60  	  N  	  0.200  	  1.000
61  	  R  	  0.213  	  1.000
62  	  N  	  0.210  	  1.000
63  	  N  	  0.206  	  1.000
64  	  N  	  0.203  	  1.000
65  	  N  	  0.200  	  1.000
66  	  N  	  0.197  	  1.000
67  	  N  	  0.194  	  1.000
68  	  N  	  0.191  	  1.000
69  	  N  	  0.188  	  1.000
70  	  N  	  0.186  	  1.000
71  	  R  	  0.197  	  1.000
72  	  N  	  0.194  	  1.000
73  	  N  	  0.192  	  1.000
74  	  N  	  0.189  	  1.000
75  	  N  	  0.187  	  1.000
76  	  N  	  0.184  	  1.000
77  	  R  	  0.195  	  1.000
78  	  N  	  0.192  	  1.000
79  	  N  	  0.190  	  1.000
80  	  N  	  0.188  	  1.000
81  	  N  	  0.185  	  1.000
82  	  N  	  0.183  	  1.000
83  	  N  	  0.181  	  1.000
84  	  N  	  0.179  	  1.000
85  	  R  	  0.188  	  1.000
86  	  N  	  0.186  	  1.000
87  	  N  	  0.184  	  1.000
88  	  N  	  0.182  	  1.000
89  	  N  	  0.180  	  1.000
90  	  N  	  0.178  	  1.000
91  	  N  	  0.176  	  1.000
92  	  N  	  0.174  	  1.000
93  	  N  	  0.172  	  1.000
94  	  N  	  0.170  	  1.000
95  	  N  	  0.168  	  1.000
96  	  N  	  0.167  	  1.000
97  	  R  	  0.175  	  1.000
98  	  N  	  0.173  	  1.000
99  	  N  	  0.172  	  1.000
100  	  N  	  0.170  	  1.000


Average precision = 0.23214399233524038

Average recall = 0.9359999999999999
