For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  R  	  0.167  	  0.200
07  	  R  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  R  	  0.300  	  0.600
11  	  R  	  0.364  	  0.800
12  	  R  	  0.417  	  1.000
13  	  R  	  0.462  	  1.000
14  	  N  	  0.429  	  1.000
15  	  N  	  0.400  	  1.000
16  	  N  	  0.375  	  1.000
17  	  N  	  0.353  	  1.000
18  	  N  	  0.333  	  1.000
19  	  N  	  0.316  	  1.000
20  	  R  	  0.350  	  1.000
21  	  R  	  0.381  	  1.000
22  	  N  	  0.364  	  1.000
23  	  R  	  0.391  	  1.000
24  	  N  	  0.375  	  1.000
25  	  R  	  0.400  	  1.000
26  	  R  	  0.423  	  1.000
27  	  R  	  0.444  	  1.000
28  	  R  	  0.464  	  1.000
29  	  N  	  0.448  	  1.000
30  	  N  	  0.433  	  1.000
31  	  N  	  0.419  	  1.000
32  	  N  	  0.406  	  1.000
33  	  N  	  0.394  	  1.000
34  	  N  	  0.382  	  1.000
35  	  N  	  0.371  	  1.000
36  	  N  	  0.361  	  1.000
37  	  N  	  0.351  	  1.000
38  	  N  	  0.342  	  1.000
39  	  N  	  0.333  	  1.000
40  	  N  	  0.325  	  1.000
41  	  N  	  0.317  	  1.000
42  	  N  	  0.310  	  1.000
43  	  R  	  0.326  	  1.000
44  	  R  	  0.341  	  1.000
45  	  N  	  0.333  	  1.000
46  	  R  	  0.348  	  1.000
47  	  N  	  0.340  	  1.000
48  	  R  	  0.354  	  1.000
49  	  N  	  0.347  	  1.000
50  	  N  	  0.340  	  1.000
51  	  N  	  0.333  	  1.000
52  	  N  	  0.327  	  1.000
53  	  N  	  0.321  	  1.000
54  	  N  	  0.315  	  1.000
55  	  N  	  0.309  	  1.000
56  	  N  	  0.304  	  1.000
57  	  N  	  0.298  	  1.000
58  	  N  	  0.293  	  1.000
59  	  N  	  0.288  	  1.000
60  	  R  	  0.300  	  1.000
61  	  N  	  0.295  	  1.000
62  	  N  	  0.290  	  1.000
63  	  N  	  0.286  	  1.000
64  	  N  	  0.281  	  1.000
65  	  N  	  0.277  	  1.000
66  	  N  	  0.273  	  1.000
67  	  N  	  0.269  	  1.000
68  	  R  	  0.279  	  1.000
69  	  N  	  0.275  	  1.000
70  	  N  	  0.271  	  1.000
71  	  N  	  0.268  	  1.000
72  	  N  	  0.264  	  1.000
73  	  N  	  0.260  	  1.000
74  	  N  	  0.257  	  1.000
75  	  N  	  0.253  	  1.000
76  	  N  	  0.250  	  1.000
77  	  N  	  0.247  	  1.000
78  	  N  	  0.244  	  1.000
79  	  N  	  0.241  	  1.000
80  	  N  	  0.237  	  1.000
81  	  R  	  0.247  	  1.000
82  	  N  	  0.244  	  1.000
83  	  N  	  0.241  	  1.000
84  	  N  	  0.238  	  1.000
85  	  N  	  0.235  	  1.000
86  	  N  	  0.233  	  1.000
87  	  N  	  0.230  	  1.000
88  	  N  	  0.227  	  1.000
89  	  N  	  0.225  	  1.000
90  	  R  	  0.233  	  1.000
91  	  N  	  0.231  	  1.000
92  	  N  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  N  	  0.212  	  1.000
100  	  N  	  0.210  	  1.000


Average precision = 0.29147336307718885

Average recall = 0.9179999999999999
