For Query: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  R  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  N  	  0.154  	  0.400
14  	  R  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  N  	  0.188  	  0.600
17  	  N  	  0.176  	  0.600
18  	  R  	  0.222  	  0.800
19  	  N  	  0.211  	  0.800
20  	  R  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  N  	  0.227  	  1.000
23  	  R  	  0.261  	  1.000
24  	  N  	  0.250  	  1.000
25  	  N  	  0.240  	  1.000
26  	  N  	  0.231  	  1.000
27  	  N  	  0.222  	  1.000
28  	  R  	  0.250  	  1.000
29  	  N  	  0.241  	  1.000
30  	  N  	  0.233  	  1.000
31  	  N  	  0.226  	  1.000
32  	  N  	  0.219  	  1.000
33  	  N  	  0.212  	  1.000
34  	  N  	  0.206  	  1.000
35  	  N  	  0.200  	  1.000
36  	  N  	  0.194  	  1.000
37  	  R  	  0.216  	  1.000
38  	  N  	  0.211  	  1.000
39  	  N  	  0.205  	  1.000
40  	  N  	  0.200  	  1.000
41  	  N  	  0.195  	  1.000
42  	  R  	  0.214  	  1.000
43  	  N  	  0.209  	  1.000
44  	  N  	  0.205  	  1.000
45  	  N  	  0.200  	  1.000
46  	  N  	  0.196  	  1.000
47  	  N  	  0.191  	  1.000
48  	  N  	  0.188  	  1.000
49  	  N  	  0.184  	  1.000
50  	  N  	  0.180  	  1.000
51  	  N  	  0.176  	  1.000
52  	  R  	  0.192  	  1.000
53  	  N  	  0.189  	  1.000
54  	  N  	  0.185  	  1.000
55  	  N  	  0.182  	  1.000
56  	  R  	  0.196  	  1.000
57  	  N  	  0.193  	  1.000
58  	  N  	  0.190  	  1.000
59  	  N  	  0.186  	  1.000
60  	  N  	  0.183  	  1.000
61  	  N  	  0.180  	  1.000
62  	  N  	  0.177  	  1.000
63  	  N  	  0.175  	  1.000
64  	  R  	  0.188  	  1.000
65  	  N  	  0.185  	  1.000
66  	  N  	  0.182  	  1.000
67  	  N  	  0.179  	  1.000
68  	  N  	  0.176  	  1.000
69  	  N  	  0.174  	  1.000
70  	  N  	  0.171  	  1.000
71  	  N  	  0.169  	  1.000
72  	  N  	  0.167  	  1.000
73  	  N  	  0.164  	  1.000
74  	  N  	  0.162  	  1.000
75  	  N  	  0.160  	  1.000
76  	  N  	  0.158  	  1.000
77  	  N  	  0.156  	  1.000
78  	  N  	  0.154  	  1.000
79  	  N  	  0.152  	  1.000
80  	  N  	  0.150  	  1.000
81  	  N  	  0.148  	  1.000
82  	  N  	  0.146  	  1.000
83  	  N  	  0.145  	  1.000
84  	  N  	  0.143  	  1.000
85  	  N  	  0.141  	  1.000
86  	  N  	  0.140  	  1.000
87  	  N  	  0.138  	  1.000
88  	  N  	  0.136  	  1.000
89  	  N  	  0.135  	  1.000
90  	  N  	  0.133  	  1.000
91  	  N  	  0.132  	  1.000
92  	  N  	  0.130  	  1.000
93  	  N  	  0.129  	  1.000
94  	  N  	  0.128  	  1.000
95  	  N  	  0.126  	  1.000
96  	  N  	  0.125  	  1.000
97  	  N  	  0.124  	  1.000
98  	  N  	  0.122  	  1.000
99  	  N  	  0.121  	  1.000
100  	  N  	  0.120  	  1.000


Average precision = 0.18730650496555892

Average recall = 0.888
