For Query: hardware and software relating to database management systems database packages back end computers special associative hardware with microcomputers attached to disk heads or things like rap relational or network codasyl or hierarchical models systems like system r ims adabas total etc

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  R  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  N  	  0.200  	  0.400
11  	  N  	  0.182  	  0.400
12  	  N  	  0.167  	  0.400
13  	  R  	  0.231  	  0.600
14  	  N  	  0.214  	  0.600
15  	  R  	  0.267  	  0.800
16  	  N  	  0.250  	  0.800
17  	  N  	  0.235  	  0.800
18  	  R  	  0.278  	  1.000
19  	  N  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  R  	  0.286  	  1.000
22  	  N  	  0.273  	  1.000
23  	  R  	  0.304  	  1.000
24  	  N  	  0.292  	  1.000
25  	  N  	  0.280  	  1.000
26  	  R  	  0.308  	  1.000
27  	  N  	  0.296  	  1.000
28  	  N  	  0.286  	  1.000
29  	  N  	  0.276  	  1.000
30  	  N  	  0.267  	  1.000
31  	  N  	  0.258  	  1.000
32  	  N  	  0.250  	  1.000
33  	  N  	  0.242  	  1.000
34  	  N  	  0.235  	  1.000
35  	  N  	  0.229  	  1.000
36  	  N  	  0.222  	  1.000
37  	  N  	  0.216  	  1.000
38  	  N  	  0.211  	  1.000
39  	  N  	  0.205  	  1.000
40  	  N  	  0.200  	  1.000
41  	  N  	  0.195  	  1.000
42  	  R  	  0.214  	  1.000
43  	  N  	  0.209  	  1.000
44  	  N  	  0.205  	  1.000
45  	  N  	  0.200  	  1.000
46  	  N  	  0.196  	  1.000
47  	  N  	  0.191  	  1.000
48  	  N  	  0.188  	  1.000
49  	  N  	  0.184  	  1.000
50  	  N  	  0.180  	  1.000
51  	  N  	  0.176  	  1.000
52  	  N  	  0.173  	  1.000
53  	  N  	  0.170  	  1.000
54  	  N  	  0.167  	  1.000
55  	  N  	  0.164  	  1.000
56  	  N  	  0.161  	  1.000
57  	  N  	  0.158  	  1.000
58  	  N  	  0.155  	  1.000
59  	  N  	  0.153  	  1.000
60  	  N  	  0.150  	  1.000
61  	  N  	  0.148  	  1.000
62  	  N  	  0.145  	  1.000
63  	  N  	  0.143  	  1.000
64  	  N  	  0.141  	  1.000
65  	  R  	  0.154  	  1.000
66  	  N  	  0.152  	  1.000
67  	  N  	  0.149  	  1.000
68  	  R  	  0.162  	  1.000
69  	  N  	  0.159  	  1.000
70  	  N  	  0.157  	  1.000
71  	  N  	  0.155  	  1.000
72  	  R  	  0.167  	  1.000
73  	  N  	  0.164  	  1.000
74  	  N  	  0.162  	  1.000
75  	  N  	  0.160  	  1.000
76  	  N  	  0.158  	  1.000
77  	  N  	  0.156  	  1.000
78  	  N  	  0.154  	  1.000
79  	  N  	  0.152  	  1.000
80  	  N  	  0.150  	  1.000
81  	  N  	  0.148  	  1.000
82  	  N  	  0.146  	  1.000
83  	  N  	  0.145  	  1.000
84  	  N  	  0.143  	  1.000
85  	  N  	  0.141  	  1.000
86  	  N  	  0.140  	  1.000
87  	  N  	  0.138  	  1.000
88  	  N  	  0.136  	  1.000
89  	  R  	  0.146  	  1.000
90  	  N  	  0.144  	  1.000
91  	  R  	  0.154  	  1.000
92  	  N  	  0.152  	  1.000
93  	  N  	  0.151  	  1.000
94  	  R  	  0.160  	  1.000
95  	  N  	  0.158  	  1.000
96  	  N  	  0.156  	  1.000
97  	  N  	  0.155  	  1.000
98  	  N  	  0.153  	  1.000
99  	  N  	  0.152  	  1.000
100  	  R  	  0.160  	  1.000


Average precision = 0.196974189533749

Average recall = 0.902
