For Query: algorithms for parallel computation and especially comparisons between parallel and sequential algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  R  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  N  	  0.308  	  0.800
14  	  N  	  0.286  	  0.800
15  	  R  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  N  	  0.278  	  1.000
19  	  R  	  0.316  	  1.000
20  	  N  	  0.300  	  1.000
21  	  R  	  0.333  	  1.000
22  	  N  	  0.318  	  1.000
23  	  N  	  0.304  	  1.000
24  	  R  	  0.333  	  1.000
25  	  N  	  0.320  	  1.000
26  	  N  	  0.308  	  1.000
27  	  N  	  0.296  	  1.000
28  	  N  	  0.286  	  1.000
29  	  N  	  0.276  	  1.000
30  	  N  	  0.267  	  1.000
31  	  N  	  0.258  	  1.000
32  	  R  	  0.281  	  1.000
33  	  N  	  0.273  	  1.000
34  	  N  	  0.265  	  1.000
35  	  N  	  0.257  	  1.000
36  	  R  	  0.278  	  1.000
37  	  N  	  0.270  	  1.000
38  	  N  	  0.263  	  1.000
39  	  N  	  0.256  	  1.000
40  	  N  	  0.250  	  1.000
41  	  N  	  0.244  	  1.000
42  	  N  	  0.238  	  1.000
43  	  N  	  0.233  	  1.000
44  	  N  	  0.227  	  1.000
45  	  N  	  0.222  	  1.000
46  	  N  	  0.217  	  1.000
47  	  R  	  0.234  	  1.000
48  	  N  	  0.229  	  1.000
49  	  N  	  0.224  	  1.000
50  	  N  	  0.220  	  1.000
51  	  N  	  0.216  	  1.000
52  	  N  	  0.212  	  1.000
53  	  N  	  0.208  	  1.000
54  	  N  	  0.204  	  1.000
55  	  N  	  0.200  	  1.000
56  	  N  	  0.196  	  1.000
57  	  N  	  0.193  	  1.000
58  	  N  	  0.190  	  1.000
59  	  N  	  0.186  	  1.000
60  	  N  	  0.183  	  1.000
61  	  N  	  0.180  	  1.000
62  	  N  	  0.177  	  1.000
63  	  N  	  0.175  	  1.000
64  	  N  	  0.172  	  1.000
65  	  N  	  0.169  	  1.000
66  	  N  	  0.167  	  1.000
67  	  N  	  0.164  	  1.000
68  	  N  	  0.162  	  1.000
69  	  N  	  0.159  	  1.000
70  	  N  	  0.157  	  1.000
71  	  N  	  0.155  	  1.000
72  	  N  	  0.153  	  1.000
73  	  N  	  0.151  	  1.000
74  	  N  	  0.149  	  1.000
75  	  N  	  0.147  	  1.000
76  	  N  	  0.145  	  1.000
77  	  N  	  0.143  	  1.000
78  	  N  	  0.141  	  1.000
79  	  N  	  0.139  	  1.000
80  	  N  	  0.138  	  1.000
81  	  N  	  0.136  	  1.000
82  	  N  	  0.134  	  1.000
83  	  N  	  0.133  	  1.000
84  	  N  	  0.131  	  1.000
85  	  N  	  0.129  	  1.000
86  	  N  	  0.128  	  1.000
87  	  N  	  0.126  	  1.000
88  	  N  	  0.125  	  1.000
89  	  N  	  0.124  	  1.000
90  	  N  	  0.122  	  1.000
91  	  N  	  0.121  	  1.000
92  	  N  	  0.120  	  1.000
93  	  N  	  0.118  	  1.000
94  	  N  	  0.117  	  1.000
95  	  N  	  0.116  	  1.000
96  	  N  	  0.115  	  1.000
97  	  N  	  0.113  	  1.000
98  	  N  	  0.112  	  1.000
99  	  N  	  0.111  	  1.000
100  	  N  	  0.110  	  1.000


Average precision = 0.22723880117750028

Average recall = 0.938
