For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  R  	  0.857  	  1.000
08  	  N  	  0.750  	  1.000
09  	  N  	  0.667  	  1.000
10  	  N  	  0.600  	  1.000
11  	  N  	  0.545  	  1.000
12  	  R  	  0.583  	  1.000
13  	  N  	  0.538  	  1.000
14  	  N  	  0.500  	  1.000
15  	  R  	  0.533  	  1.000
16  	  N  	  0.500  	  1.000
17  	  R  	  0.529  	  1.000
18  	  N  	  0.500  	  1.000
19  	  N  	  0.474  	  1.000
20  	  N  	  0.450  	  1.000
21  	  N  	  0.429  	  1.000
22  	  N  	  0.409  	  1.000
23  	  N  	  0.391  	  1.000
24  	  N  	  0.375  	  1.000
25  	  N  	  0.360  	  1.000
26  	  R  	  0.385  	  1.000
27  	  R  	  0.407  	  1.000
28  	  R  	  0.429  	  1.000
29  	  N  	  0.414  	  1.000
30  	  N  	  0.400  	  1.000
31  	  R  	  0.419  	  1.000
32  	  N  	  0.406  	  1.000
33  	  N  	  0.394  	  1.000
34  	  N  	  0.382  	  1.000
35  	  N  	  0.371  	  1.000
36  	  N  	  0.361  	  1.000
37  	  N  	  0.351  	  1.000
38  	  N  	  0.342  	  1.000
39  	  N  	  0.333  	  1.000
40  	  N  	  0.325  	  1.000
41  	  N  	  0.317  	  1.000
42  	  R  	  0.333  	  1.000
43  	  N  	  0.326  	  1.000
44  	  N  	  0.318  	  1.000
45  	  N  	  0.311  	  1.000
46  	  N  	  0.304  	  1.000
47  	  N  	  0.298  	  1.000
48  	  N  	  0.292  	  1.000
49  	  R  	  0.306  	  1.000
50  	  N  	  0.300  	  1.000
51  	  N  	  0.294  	  1.000
52  	  N  	  0.288  	  1.000
53  	  N  	  0.283  	  1.000
54  	  N  	  0.278  	  1.000
55  	  R  	  0.291  	  1.000
56  	  N  	  0.286  	  1.000
57  	  N  	  0.281  	  1.000
58  	  R  	  0.293  	  1.000
59  	  R  	  0.305  	  1.000
60  	  N  	  0.300  	  1.000
61  	  N  	  0.295  	  1.000
62  	  N  	  0.290  	  1.000
63  	  N  	  0.286  	  1.000
64  	  N  	  0.281  	  1.000
65  	  N  	  0.277  	  1.000
66  	  N  	  0.273  	  1.000
67  	  N  	  0.269  	  1.000
68  	  N  	  0.265  	  1.000
69  	  N  	  0.261  	  1.000
70  	  N  	  0.257  	  1.000
71  	  R  	  0.268  	  1.000
72  	  R  	  0.278  	  1.000
73  	  N  	  0.274  	  1.000
74  	  N  	  0.270  	  1.000
75  	  N  	  0.267  	  1.000
76  	  N  	  0.263  	  1.000
77  	  N  	  0.260  	  1.000
78  	  N  	  0.256  	  1.000
79  	  N  	  0.253  	  1.000
80  	  N  	  0.250  	  1.000
81  	  N  	  0.247  	  1.000
82  	  N  	  0.244  	  1.000
83  	  N  	  0.241  	  1.000
84  	  N  	  0.238  	  1.000
85  	  N  	  0.235  	  1.000
86  	  N  	  0.233  	  1.000
87  	  N  	  0.230  	  1.000
88  	  R  	  0.239  	  1.000
89  	  N  	  0.236  	  1.000
90  	  N  	  0.233  	  1.000
91  	  N  	  0.231  	  1.000
92  	  N  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  R  	  0.222  	  1.000
100  	  N  	  0.220  	  1.000


Average precision = 0.36254991855265106

Average recall = 0.972
