For Query: the use of operations research models to optimize information system performance this includes fine tuning decisions such as secondary index selection file reorganization and distributed databases

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  R  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  N  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  R  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  R  	  0.333  	  1.000
19  	  N  	  0.316  	  1.000
20  	  N  	  0.300  	  1.000
21  	  N  	  0.286  	  1.000
22  	  N  	  0.273  	  1.000
23  	  N  	  0.261  	  1.000
24  	  N  	  0.250  	  1.000
25  	  R  	  0.280  	  1.000
26  	  N  	  0.269  	  1.000
27  	  N  	  0.259  	  1.000
28  	  R  	  0.286  	  1.000
29  	  N  	  0.276  	  1.000
30  	  R  	  0.300  	  1.000
31  	  R  	  0.323  	  1.000
32  	  R  	  0.344  	  1.000
33  	  N  	  0.333  	  1.000
34  	  N  	  0.324  	  1.000
35  	  N  	  0.314  	  1.000
36  	  N  	  0.306  	  1.000
37  	  N  	  0.297  	  1.000
38  	  N  	  0.289  	  1.000
39  	  N  	  0.282  	  1.000
40  	  R  	  0.300  	  1.000
41  	  N  	  0.293  	  1.000
42  	  N  	  0.286  	  1.000
43  	  N  	  0.279  	  1.000
44  	  N  	  0.273  	  1.000
45  	  N  	  0.267  	  1.000
46  	  N  	  0.261  	  1.000
47  	  N  	  0.255  	  1.000
48  	  N  	  0.250  	  1.000
49  	  N  	  0.245  	  1.000
50  	  N  	  0.240  	  1.000
51  	  N  	  0.235  	  1.000
52  	  N  	  0.231  	  1.000
53  	  N  	  0.226  	  1.000
54  	  N  	  0.222  	  1.000
55  	  R  	  0.236  	  1.000
56  	  N  	  0.232  	  1.000
57  	  N  	  0.228  	  1.000
58  	  N  	  0.224  	  1.000
59  	  N  	  0.220  	  1.000
60  	  N  	  0.217  	  1.000
61  	  N  	  0.213  	  1.000
62  	  N  	  0.210  	  1.000
63  	  N  	  0.206  	  1.000
64  	  N  	  0.203  	  1.000
65  	  N  	  0.200  	  1.000
66  	  N  	  0.197  	  1.000
67  	  N  	  0.194  	  1.000
68  	  N  	  0.191  	  1.000
69  	  N  	  0.188  	  1.000
70  	  N  	  0.186  	  1.000
71  	  N  	  0.183  	  1.000
72  	  N  	  0.181  	  1.000
73  	  N  	  0.178  	  1.000
74  	  N  	  0.176  	  1.000
75  	  N  	  0.173  	  1.000
76  	  N  	  0.171  	  1.000
77  	  N  	  0.169  	  1.000
78  	  N  	  0.167  	  1.000
79  	  N  	  0.165  	  1.000
80  	  R  	  0.175  	  1.000
81  	  N  	  0.173  	  1.000
82  	  N  	  0.171  	  1.000
83  	  N  	  0.169  	  1.000
84  	  N  	  0.167  	  1.000
85  	  N  	  0.165  	  1.000
86  	  N  	  0.163  	  1.000
87  	  N  	  0.161  	  1.000
88  	  N  	  0.159  	  1.000
89  	  N  	  0.157  	  1.000
90  	  N  	  0.156  	  1.000
91  	  N  	  0.154  	  1.000
92  	  N  	  0.152  	  1.000
93  	  N  	  0.151  	  1.000
94  	  N  	  0.149  	  1.000
95  	  N  	  0.147  	  1.000
96  	  N  	  0.146  	  1.000
97  	  R  	  0.155  	  1.000
98  	  N  	  0.153  	  1.000
99  	  N  	  0.152  	  1.000
100  	  N  	  0.150  	  1.000


Average precision = 0.26271215982945045

Average recall = 0.956
