For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.000
07  	  N  	  0.857  	  1.000
08  	  R  	  0.875  	  1.000
09  	  N  	  0.778  	  1.000
10  	  R  	  0.800  	  1.000
11  	  N  	  0.727  	  1.000
12  	  N  	  0.667  	  1.000
13  	  R  	  0.692  	  1.000
14  	  N  	  0.643  	  1.000
15  	  N  	  0.600  	  1.000
16  	  R  	  0.625  	  1.000
17  	  N  	  0.588  	  1.000
18  	  R  	  0.611  	  1.000
19  	  R  	  0.632  	  1.000
20  	  N  	  0.600  	  1.000
21  	  N  	  0.571  	  1.000
22  	  R  	  0.591  	  1.000
23  	  R  	  0.609  	  1.000
24  	  R  	  0.625  	  1.000
25  	  N  	  0.600  	  1.000
26  	  R  	  0.615  	  1.000
27  	  N  	  0.593  	  1.000
28  	  N  	  0.571  	  1.000
29  	  R  	  0.586  	  1.000
30  	  R  	  0.600  	  1.000
31  	  N  	  0.581  	  1.000
32  	  R  	  0.594  	  1.000
33  	  N  	  0.576  	  1.000
34  	  R  	  0.588  	  1.000
35  	  N  	  0.571  	  1.000
36  	  N  	  0.556  	  1.000
37  	  N  	  0.541  	  1.000
38  	  N  	  0.526  	  1.000
39  	  N  	  0.513  	  1.000
40  	  N  	  0.500  	  1.000
41  	  N  	  0.488  	  1.000
42  	  N  	  0.476  	  1.000
43  	  N  	  0.465  	  1.000
44  	  N  	  0.455  	  1.000
45  	  N  	  0.444  	  1.000
46  	  N  	  0.435  	  1.000
47  	  N  	  0.426  	  1.000
48  	  N  	  0.417  	  1.000
49  	  N  	  0.408  	  1.000
50  	  R  	  0.420  	  1.000
51  	  N  	  0.412  	  1.000
52  	  N  	  0.404  	  1.000
53  	  N  	  0.396  	  1.000
54  	  N  	  0.389  	  1.000
55  	  N  	  0.382  	  1.000
56  	  N  	  0.375  	  1.000
57  	  N  	  0.368  	  1.000
58  	  N  	  0.362  	  1.000
59  	  N  	  0.356  	  1.000
60  	  N  	  0.350  	  1.000
61  	  R  	  0.361  	  1.000
62  	  N  	  0.355  	  1.000
63  	  N  	  0.349  	  1.000
64  	  N  	  0.344  	  1.000
65  	  N  	  0.338  	  1.000
66  	  N  	  0.333  	  1.000
67  	  N  	  0.328  	  1.000
68  	  R  	  0.338  	  1.000
69  	  N  	  0.333  	  1.000
70  	  N  	  0.329  	  1.000
71  	  N  	  0.324  	  1.000
72  	  N  	  0.319  	  1.000
73  	  N  	  0.315  	  1.000
74  	  N  	  0.311  	  1.000
75  	  N  	  0.307  	  1.000
76  	  N  	  0.303  	  1.000
77  	  N  	  0.299  	  1.000
78  	  N  	  0.295  	  1.000
79  	  R  	  0.304  	  1.000
80  	  N  	  0.300  	  1.000
81  	  N  	  0.296  	  1.000
82  	  N  	  0.293  	  1.000
83  	  N  	  0.289  	  1.000
84  	  N  	  0.286  	  1.000
85  	  N  	  0.282  	  1.000
86  	  N  	  0.279  	  1.000
87  	  N  	  0.276  	  1.000
88  	  N  	  0.273  	  1.000
89  	  N  	  0.270  	  1.000
90  	  N  	  0.267  	  1.000
91  	  N  	  0.264  	  1.000
92  	  N  	  0.261  	  1.000
93  	  N  	  0.258  	  1.000
94  	  N  	  0.255  	  1.000
95  	  N  	  0.253  	  1.000
96  	  N  	  0.250  	  1.000
97  	  N  	  0.247  	  1.000
98  	  N  	  0.245  	  1.000
99  	  N  	  0.242  	  1.000
100  	  N  	  0.240  	  1.000


Average precision = 0.47239095642944084

Average recall = 0.98
