For Query: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.000
07  	  R  	  1.000  	  1.000
08  	  R  	  1.000  	  1.000
09  	  R  	  1.000  	  1.000
10  	  R  	  1.000  	  1.000
11  	  N  	  0.909  	  1.000
12  	  R  	  0.917  	  1.000
13  	  N  	  0.846  	  1.000
14  	  R  	  0.857  	  1.000
15  	  R  	  0.867  	  1.000
16  	  R  	  0.875  	  1.000
17  	  R  	  0.882  	  1.000
18  	  R  	  0.889  	  1.000
19  	  R  	  0.895  	  1.000
20  	  N  	  0.850  	  1.000
21  	  R  	  0.857  	  1.000
22  	  N  	  0.818  	  1.000
23  	  N  	  0.783  	  1.000
24  	  N  	  0.750  	  1.000
25  	  R  	  0.760  	  1.000
26  	  N  	  0.731  	  1.000
27  	  R  	  0.741  	  1.000
28  	  R  	  0.750  	  1.000
29  	  R  	  0.759  	  1.000
30  	  N  	  0.733  	  1.000
31  	  R  	  0.742  	  1.000
32  	  N  	  0.719  	  1.000
33  	  N  	  0.697  	  1.000
34  	  N  	  0.676  	  1.000
35  	  R  	  0.686  	  1.000
36  	  R  	  0.694  	  1.000
37  	  N  	  0.676  	  1.000
38  	  N  	  0.658  	  1.000
39  	  R  	  0.667  	  1.000
40  	  N  	  0.650  	  1.000
41  	  N  	  0.634  	  1.000
42  	  R  	  0.643  	  1.000
43  	  R  	  0.651  	  1.000
44  	  N  	  0.636  	  1.000
45  	  R  	  0.644  	  1.000
46  	  R  	  0.652  	  1.000
47  	  R  	  0.660  	  1.000
48  	  R  	  0.667  	  1.000
49  	  R  	  0.673  	  1.000
50  	  R  	  0.680  	  1.000
51  	  N  	  0.667  	  1.000
52  	  R  	  0.673  	  1.000
53  	  N  	  0.660  	  1.000
54  	  R  	  0.667  	  1.000
55  	  N  	  0.655  	  1.000
56  	  N  	  0.643  	  1.000
57  	  N  	  0.632  	  1.000
58  	  N  	  0.621  	  1.000
59  	  R  	  0.627  	  1.000
60  	  R  	  0.633  	  1.000
61  	  N  	  0.623  	  1.000
62  	  N  	  0.613  	  1.000
63  	  N  	  0.603  	  1.000
64  	  N  	  0.594  	  1.000
65  	  N  	  0.585  	  1.000
66  	  N  	  0.576  	  1.000
67  	  N  	  0.567  	  1.000
68  	  R  	  0.574  	  1.000
69  	  N  	  0.565  	  1.000
70  	  N  	  0.557  	  1.000
71  	  N  	  0.549  	  1.000
72  	  N  	  0.542  	  1.000
73  	  N  	  0.534  	  1.000
74  	  N  	  0.527  	  1.000
75  	  N  	  0.520  	  1.000
76  	  N  	  0.513  	  1.000
77  	  R  	  0.519  	  1.000
78  	  N  	  0.513  	  1.000
79  	  N  	  0.506  	  1.000
80  	  N  	  0.500  	  1.000
81  	  N  	  0.494  	  1.000
82  	  N  	  0.488  	  1.000
83  	  N  	  0.482  	  1.000
84  	  N  	  0.476  	  1.000
85  	  N  	  0.471  	  1.000
86  	  N  	  0.465  	  1.000
87  	  N  	  0.460  	  1.000
88  	  N  	  0.455  	  1.000
89  	  N  	  0.449  	  1.000
90  	  N  	  0.444  	  1.000
91  	  N  	  0.440  	  1.000
92  	  N  	  0.435  	  1.000
93  	  N  	  0.430  	  1.000
94  	  N  	  0.426  	  1.000
95  	  N  	  0.421  	  1.000
96  	  N  	  0.417  	  1.000
97  	  N  	  0.412  	  1.000
98  	  N  	  0.408  	  1.000
99  	  N  	  0.404  	  1.000
100  	  N  	  0.400  	  1.000


Average precision = 0.6630654722616073

Average recall = 0.98
