For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  R  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  R  	  0.600  	  1.000
11  	  R  	  0.636  	  1.000
12  	  N  	  0.583  	  1.000
13  	  R  	  0.615  	  1.000
14  	  R  	  0.643  	  1.000
15  	  R  	  0.667  	  1.000
16  	  N  	  0.625  	  1.000
17  	  N  	  0.588  	  1.000
18  	  N  	  0.556  	  1.000
19  	  N  	  0.526  	  1.000
20  	  R  	  0.550  	  1.000
21  	  R  	  0.571  	  1.000
22  	  R  	  0.591  	  1.000
23  	  N  	  0.565  	  1.000
24  	  N  	  0.542  	  1.000
25  	  R  	  0.560  	  1.000
26  	  N  	  0.538  	  1.000
27  	  N  	  0.519  	  1.000
28  	  N  	  0.500  	  1.000
29  	  R  	  0.517  	  1.000
30  	  R  	  0.533  	  1.000
31  	  N  	  0.516  	  1.000
32  	  N  	  0.500  	  1.000
33  	  N  	  0.485  	  1.000
34  	  N  	  0.471  	  1.000
35  	  N  	  0.457  	  1.000
36  	  N  	  0.444  	  1.000
37  	  N  	  0.432  	  1.000
38  	  N  	  0.421  	  1.000
39  	  N  	  0.410  	  1.000
40  	  R  	  0.425  	  1.000
41  	  N  	  0.415  	  1.000
42  	  N  	  0.405  	  1.000
43  	  N  	  0.395  	  1.000
44  	  N  	  0.386  	  1.000
45  	  N  	  0.378  	  1.000
46  	  N  	  0.370  	  1.000
47  	  N  	  0.362  	  1.000
48  	  N  	  0.354  	  1.000
49  	  N  	  0.347  	  1.000
50  	  N  	  0.340  	  1.000
51  	  N  	  0.333  	  1.000
52  	  R  	  0.346  	  1.000
53  	  N  	  0.340  	  1.000
54  	  N  	  0.333  	  1.000
55  	  N  	  0.327  	  1.000
56  	  N  	  0.321  	  1.000
57  	  N  	  0.316  	  1.000
58  	  R  	  0.328  	  1.000
59  	  N  	  0.322  	  1.000
60  	  N  	  0.317  	  1.000
61  	  N  	  0.311  	  1.000
62  	  N  	  0.306  	  1.000
63  	  N  	  0.302  	  1.000
64  	  N  	  0.297  	  1.000
65  	  N  	  0.292  	  1.000
66  	  N  	  0.288  	  1.000
67  	  N  	  0.284  	  1.000
68  	  N  	  0.279  	  1.000
69  	  N  	  0.275  	  1.000
70  	  N  	  0.271  	  1.000
71  	  N  	  0.268  	  1.000
72  	  N  	  0.264  	  1.000
73  	  N  	  0.260  	  1.000
74  	  N  	  0.257  	  1.000
75  	  N  	  0.253  	  1.000
76  	  N  	  0.250  	  1.000
77  	  N  	  0.247  	  1.000
78  	  N  	  0.244  	  1.000
79  	  N  	  0.241  	  1.000
80  	  N  	  0.237  	  1.000
81  	  N  	  0.235  	  1.000
82  	  N  	  0.232  	  1.000
83  	  R  	  0.241  	  1.000
84  	  R  	  0.250  	  1.000
85  	  N  	  0.247  	  1.000
86  	  N  	  0.244  	  1.000
87  	  N  	  0.241  	  1.000
88  	  N  	  0.239  	  1.000
89  	  N  	  0.236  	  1.000
90  	  N  	  0.233  	  1.000
91  	  N  	  0.231  	  1.000
92  	  N  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  N  	  0.212  	  1.000
100  	  N  	  0.210  	  1.000


Average precision = 0.3983348197228327

Average recall = 0.966
