For Query: concurrency control mechanisms in operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  R  	  0.364  	  0.800
12  	  R  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  N  	  0.278  	  1.000
19  	  N  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  N  	  0.227  	  1.000
23  	  N  	  0.217  	  1.000
24  	  N  	  0.208  	  1.000
25  	  N  	  0.200  	  1.000
26  	  N  	  0.192  	  1.000
27  	  N  	  0.185  	  1.000
28  	  N  	  0.179  	  1.000
29  	  R  	  0.207  	  1.000
30  	  N  	  0.200  	  1.000
31  	  N  	  0.194  	  1.000
32  	  N  	  0.188  	  1.000
33  	  N  	  0.182  	  1.000
34  	  N  	  0.176  	  1.000
35  	  R  	  0.200  	  1.000
36  	  N  	  0.194  	  1.000
37  	  N  	  0.189  	  1.000
38  	  N  	  0.184  	  1.000
39  	  N  	  0.179  	  1.000
40  	  N  	  0.175  	  1.000
41  	  N  	  0.171  	  1.000
42  	  N  	  0.167  	  1.000
43  	  N  	  0.163  	  1.000
44  	  N  	  0.159  	  1.000
45  	  N  	  0.156  	  1.000
46  	  N  	  0.152  	  1.000
47  	  N  	  0.149  	  1.000
48  	  N  	  0.146  	  1.000
49  	  R  	  0.163  	  1.000
50  	  N  	  0.160  	  1.000
51  	  N  	  0.157  	  1.000
52  	  N  	  0.154  	  1.000
53  	  N  	  0.151  	  1.000
54  	  N  	  0.148  	  1.000
55  	  N  	  0.145  	  1.000
56  	  N  	  0.143  	  1.000
57  	  N  	  0.140  	  1.000
58  	  N  	  0.138  	  1.000
59  	  N  	  0.136  	  1.000
60  	  N  	  0.133  	  1.000
61  	  N  	  0.131  	  1.000
62  	  N  	  0.129  	  1.000
63  	  N  	  0.127  	  1.000
64  	  N  	  0.125  	  1.000
65  	  N  	  0.123  	  1.000
66  	  N  	  0.121  	  1.000
67  	  N  	  0.119  	  1.000
68  	  N  	  0.118  	  1.000
69  	  N  	  0.116  	  1.000
70  	  N  	  0.114  	  1.000
71  	  N  	  0.113  	  1.000
72  	  N  	  0.111  	  1.000
73  	  N  	  0.110  	  1.000
74  	  N  	  0.108  	  1.000
75  	  N  	  0.107  	  1.000
76  	  N  	  0.105  	  1.000
77  	  N  	  0.104  	  1.000
78  	  N  	  0.103  	  1.000
79  	  N  	  0.101  	  1.000
80  	  N  	  0.100  	  1.000
81  	  R  	  0.111  	  1.000
82  	  N  	  0.110  	  1.000
83  	  N  	  0.108  	  1.000
84  	  N  	  0.107  	  1.000
85  	  N  	  0.106  	  1.000
86  	  N  	  0.105  	  1.000
87  	  N  	  0.103  	  1.000
88  	  N  	  0.102  	  1.000
89  	  N  	  0.101  	  1.000
90  	  N  	  0.100  	  1.000
91  	  N  	  0.099  	  1.000
92  	  N  	  0.098  	  1.000
93  	  N  	  0.097  	  1.000
94  	  N  	  0.096  	  1.000
95  	  N  	  0.095  	  1.000
96  	  N  	  0.094  	  1.000
97  	  N  	  0.093  	  1.000
98  	  N  	  0.092  	  1.000
99  	  N  	  0.091  	  1.000
100  	  N  	  0.090  	  1.000


Average precision = 0.1706789457648954

Average recall = 0.934
