For Query: memory management aspects of operating systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  R  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  N  	  0.625  	  1.000
09  	  N  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  R  	  0.545  	  1.000
12  	  R  	  0.583  	  1.000
13  	  N  	  0.538  	  1.000
14  	  R  	  0.571  	  1.000
15  	  N  	  0.533  	  1.000
16  	  R  	  0.562  	  1.000
17  	  R  	  0.588  	  1.000
18  	  N  	  0.556  	  1.000
19  	  N  	  0.526  	  1.000
20  	  N  	  0.500  	  1.000
21  	  N  	  0.476  	  1.000
22  	  N  	  0.455  	  1.000
23  	  R  	  0.478  	  1.000
24  	  N  	  0.458  	  1.000
25  	  R  	  0.480  	  1.000
26  	  N  	  0.462  	  1.000
27  	  N  	  0.444  	  1.000
28  	  N  	  0.429  	  1.000
29  	  N  	  0.414  	  1.000
30  	  N  	  0.400  	  1.000
31  	  N  	  0.387  	  1.000
32  	  N  	  0.375  	  1.000
33  	  N  	  0.364  	  1.000
34  	  N  	  0.353  	  1.000
35  	  N  	  0.343  	  1.000
36  	  N  	  0.333  	  1.000
37  	  N  	  0.324  	  1.000
38  	  N  	  0.316  	  1.000
39  	  N  	  0.308  	  1.000
40  	  N  	  0.300  	  1.000
41  	  N  	  0.293  	  1.000
42  	  N  	  0.286  	  1.000
43  	  N  	  0.279  	  1.000
44  	  N  	  0.273  	  1.000
45  	  N  	  0.267  	  1.000
46  	  N  	  0.261  	  1.000
47  	  N  	  0.255  	  1.000
48  	  N  	  0.250  	  1.000
49  	  N  	  0.245  	  1.000
50  	  R  	  0.260  	  1.000
51  	  N  	  0.255  	  1.000
52  	  N  	  0.250  	  1.000
53  	  R  	  0.264  	  1.000
54  	  N  	  0.259  	  1.000
55  	  N  	  0.255  	  1.000
56  	  N  	  0.250  	  1.000
57  	  N  	  0.246  	  1.000
58  	  N  	  0.241  	  1.000
59  	  N  	  0.237  	  1.000
60  	  R  	  0.250  	  1.000
61  	  N  	  0.246  	  1.000
62  	  R  	  0.258  	  1.000
63  	  N  	  0.254  	  1.000
64  	  N  	  0.250  	  1.000
65  	  N  	  0.246  	  1.000
66  	  N  	  0.242  	  1.000
67  	  N  	  0.239  	  1.000
68  	  N  	  0.235  	  1.000
69  	  N  	  0.232  	  1.000
70  	  N  	  0.229  	  1.000
71  	  N  	  0.225  	  1.000
72  	  N  	  0.222  	  1.000
73  	  N  	  0.219  	  1.000
74  	  N  	  0.216  	  1.000
75  	  N  	  0.213  	  1.000
76  	  N  	  0.211  	  1.000
77  	  N  	  0.208  	  1.000
78  	  N  	  0.205  	  1.000
79  	  N  	  0.203  	  1.000
80  	  N  	  0.200  	  1.000
81  	  N  	  0.198  	  1.000
82  	  N  	  0.195  	  1.000
83  	  N  	  0.193  	  1.000
84  	  R  	  0.202  	  1.000
85  	  N  	  0.200  	  1.000
86  	  N  	  0.198  	  1.000
87  	  N  	  0.195  	  1.000
88  	  N  	  0.193  	  1.000
89  	  N  	  0.191  	  1.000
90  	  N  	  0.189  	  1.000
91  	  N  	  0.187  	  1.000
92  	  N  	  0.185  	  1.000
93  	  N  	  0.183  	  1.000
94  	  N  	  0.181  	  1.000
95  	  N  	  0.179  	  1.000
96  	  N  	  0.177  	  1.000
97  	  N  	  0.175  	  1.000
98  	  N  	  0.173  	  1.000
99  	  N  	  0.172  	  1.000
100  	  N  	  0.170  	  1.000


Average precision = 0.3464525720123195

Average recall = 0.976
