For Query: i am interested in distributed algorithms concurrent programs in which processes communicate and synchronize by using message passing areas of particular interest include fault tolerance and techniques for understanding the correctness of these algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  R  	  1.000  	  1.000
07  	  N  	  0.857  	  1.000
08  	  N  	  0.750  	  1.000
09  	  R  	  0.778  	  1.000
10  	  R  	  0.800  	  1.000
11  	  N  	  0.727  	  1.000
12  	  R  	  0.750  	  1.000
13  	  N  	  0.692  	  1.000
14  	  N  	  0.643  	  1.000
15  	  N  	  0.600  	  1.000
16  	  N  	  0.562  	  1.000
17  	  N  	  0.529  	  1.000
18  	  R  	  0.556  	  1.000
19  	  N  	  0.526  	  1.000
20  	  R  	  0.550  	  1.000
21  	  N  	  0.524  	  1.000
22  	  N  	  0.500  	  1.000
23  	  N  	  0.478  	  1.000
24  	  R  	  0.500  	  1.000
25  	  N  	  0.480  	  1.000
26  	  N  	  0.462  	  1.000
27  	  N  	  0.444  	  1.000
28  	  N  	  0.429  	  1.000
29  	  N  	  0.414  	  1.000
30  	  N  	  0.400  	  1.000
31  	  N  	  0.387  	  1.000
32  	  N  	  0.375  	  1.000
33  	  N  	  0.364  	  1.000
34  	  N  	  0.353  	  1.000
35  	  N  	  0.343  	  1.000
36  	  N  	  0.333  	  1.000
37  	  N  	  0.324  	  1.000
38  	  N  	  0.316  	  1.000
39  	  N  	  0.308  	  1.000
40  	  N  	  0.300  	  1.000
41  	  N  	  0.293  	  1.000
42  	  N  	  0.286  	  1.000
43  	  N  	  0.279  	  1.000
44  	  N  	  0.273  	  1.000
45  	  N  	  0.267  	  1.000
46  	  R  	  0.283  	  1.000
47  	  N  	  0.277  	  1.000
48  	  N  	  0.271  	  1.000
49  	  N  	  0.265  	  1.000
50  	  N  	  0.260  	  1.000
51  	  N  	  0.255  	  1.000
52  	  N  	  0.250  	  1.000
53  	  N  	  0.245  	  1.000
54  	  N  	  0.241  	  1.000
55  	  N  	  0.236  	  1.000
56  	  N  	  0.232  	  1.000
57  	  N  	  0.228  	  1.000
58  	  N  	  0.224  	  1.000
59  	  N  	  0.220  	  1.000
60  	  N  	  0.217  	  1.000
61  	  N  	  0.213  	  1.000
62  	  N  	  0.210  	  1.000
63  	  N  	  0.206  	  1.000
64  	  R  	  0.219  	  1.000
65  	  N  	  0.215  	  1.000
66  	  N  	  0.212  	  1.000
67  	  R  	  0.224  	  1.000
68  	  N  	  0.221  	  1.000
69  	  N  	  0.217  	  1.000
70  	  N  	  0.214  	  1.000
71  	  N  	  0.211  	  1.000
72  	  R  	  0.222  	  1.000
73  	  N  	  0.219  	  1.000
74  	  N  	  0.216  	  1.000
75  	  N  	  0.213  	  1.000
76  	  N  	  0.211  	  1.000
77  	  N  	  0.208  	  1.000
78  	  N  	  0.205  	  1.000
79  	  N  	  0.203  	  1.000
80  	  N  	  0.200  	  1.000
81  	  N  	  0.198  	  1.000
82  	  N  	  0.195  	  1.000
83  	  N  	  0.193  	  1.000
84  	  N  	  0.190  	  1.000
85  	  N  	  0.188  	  1.000
86  	  N  	  0.186  	  1.000
87  	  N  	  0.184  	  1.000
88  	  N  	  0.182  	  1.000
89  	  N  	  0.180  	  1.000
90  	  N  	  0.178  	  1.000
91  	  N  	  0.176  	  1.000
92  	  N  	  0.174  	  1.000
93  	  N  	  0.172  	  1.000
94  	  N  	  0.170  	  1.000
95  	  N  	  0.168  	  1.000
96  	  N  	  0.167  	  1.000
97  	  N  	  0.165  	  1.000
98  	  N  	  0.163  	  1.000
99  	  N  	  0.162  	  1.000
100  	  N  	  0.160  	  1.000


Average precision = 0.3626519153148056

Average recall = 0.98
