For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  R  	  0.750  	  1.000
09  	  R  	  0.778  	  1.000
10  	  N  	  0.700  	  1.000
11  	  N  	  0.636  	  1.000
12  	  N  	  0.583  	  1.000
13  	  R  	  0.615  	  1.000
14  	  R  	  0.643  	  1.000
15  	  R  	  0.667  	  1.000
16  	  R  	  0.688  	  1.000
17  	  R  	  0.706  	  1.000
18  	  R  	  0.722  	  1.000
19  	  R  	  0.737  	  1.000
20  	  R  	  0.750  	  1.000
21  	  R  	  0.762  	  1.000
22  	  R  	  0.773  	  1.000
23  	  R  	  0.783  	  1.000
24  	  N  	  0.750  	  1.000
25  	  R  	  0.760  	  1.000
26  	  N  	  0.731  	  1.000
27  	  R  	  0.741  	  1.000
28  	  R  	  0.750  	  1.000
29  	  R  	  0.759  	  1.000
30  	  N  	  0.733  	  1.000
31  	  N  	  0.710  	  1.000
32  	  N  	  0.688  	  1.000
33  	  N  	  0.667  	  1.000
34  	  N  	  0.647  	  1.000
35  	  N  	  0.629  	  1.000
36  	  N  	  0.611  	  1.000
37  	  N  	  0.595  	  1.000
38  	  N  	  0.579  	  1.000
39  	  N  	  0.564  	  1.000
40  	  N  	  0.550  	  1.000
41  	  N  	  0.537  	  1.000
42  	  N  	  0.524  	  1.000
43  	  N  	  0.512  	  1.000
44  	  N  	  0.500  	  1.000
45  	  N  	  0.489  	  1.000
46  	  N  	  0.478  	  1.000
47  	  N  	  0.468  	  1.000
48  	  N  	  0.458  	  1.000
49  	  N  	  0.449  	  1.000
50  	  N  	  0.440  	  1.000
51  	  N  	  0.431  	  1.000
52  	  N  	  0.423  	  1.000
53  	  N  	  0.415  	  1.000
54  	  N  	  0.407  	  1.000
55  	  N  	  0.400  	  1.000
56  	  N  	  0.393  	  1.000
57  	  N  	  0.386  	  1.000
58  	  N  	  0.379  	  1.000
59  	  N  	  0.373  	  1.000
60  	  N  	  0.367  	  1.000
61  	  N  	  0.361  	  1.000
62  	  N  	  0.355  	  1.000
63  	  N  	  0.349  	  1.000
64  	  N  	  0.344  	  1.000
65  	  N  	  0.338  	  1.000
66  	  N  	  0.333  	  1.000
67  	  N  	  0.328  	  1.000
68  	  N  	  0.324  	  1.000
69  	  N  	  0.319  	  1.000
70  	  N  	  0.314  	  1.000
71  	  N  	  0.310  	  1.000
72  	  N  	  0.306  	  1.000
73  	  N  	  0.301  	  1.000
74  	  N  	  0.297  	  1.000
75  	  N  	  0.293  	  1.000
76  	  N  	  0.289  	  1.000
77  	  N  	  0.286  	  1.000
78  	  N  	  0.282  	  1.000
79  	  N  	  0.278  	  1.000
80  	  N  	  0.275  	  1.000
81  	  N  	  0.272  	  1.000
82  	  N  	  0.268  	  1.000
83  	  N  	  0.265  	  1.000
84  	  N  	  0.262  	  1.000
85  	  N  	  0.259  	  1.000
86  	  R  	  0.267  	  1.000
87  	  N  	  0.264  	  1.000
88  	  N  	  0.261  	  1.000
89  	  N  	  0.258  	  1.000
90  	  N  	  0.256  	  1.000
91  	  N  	  0.253  	  1.000
92  	  N  	  0.250  	  1.000
93  	  N  	  0.247  	  1.000
94  	  N  	  0.245  	  1.000
95  	  N  	  0.242  	  1.000
96  	  N  	  0.240  	  1.000
97  	  N  	  0.237  	  1.000
98  	  N  	  0.235  	  1.000
99  	  R  	  0.242  	  1.000
100  	  N  	  0.240  	  1.000


Average precision = 0.4832748292030785

Average recall = 0.97
