For Query: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  R  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  N  	  0.250  	  0.600
13  	  R  	  0.308  	  0.800
14  	  R  	  0.357  	  1.000
15  	  N  	  0.333  	  1.000
16  	  N  	  0.312  	  1.000
17  	  N  	  0.294  	  1.000
18  	  N  	  0.278  	  1.000
19  	  N  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  R  	  0.273  	  1.000
23  	  N  	  0.261  	  1.000
24  	  R  	  0.292  	  1.000
25  	  N  	  0.280  	  1.000
26  	  N  	  0.269  	  1.000
27  	  N  	  0.259  	  1.000
28  	  N  	  0.250  	  1.000
29  	  N  	  0.241  	  1.000
30  	  N  	  0.233  	  1.000
31  	  N  	  0.226  	  1.000
32  	  N  	  0.219  	  1.000
33  	  R  	  0.242  	  1.000
34  	  R  	  0.265  	  1.000
35  	  N  	  0.257  	  1.000
36  	  N  	  0.250  	  1.000
37  	  R  	  0.270  	  1.000
38  	  N  	  0.263  	  1.000
39  	  N  	  0.256  	  1.000
40  	  N  	  0.250  	  1.000
41  	  N  	  0.244  	  1.000
42  	  R  	  0.262  	  1.000
43  	  N  	  0.256  	  1.000
44  	  N  	  0.250  	  1.000
45  	  N  	  0.244  	  1.000
46  	  N  	  0.239  	  1.000
47  	  N  	  0.234  	  1.000
48  	  N  	  0.229  	  1.000
49  	  R  	  0.245  	  1.000
50  	  R  	  0.260  	  1.000
51  	  R  	  0.275  	  1.000
52  	  N  	  0.269  	  1.000
53  	  R  	  0.283  	  1.000
54  	  N  	  0.278  	  1.000
55  	  N  	  0.273  	  1.000
56  	  N  	  0.268  	  1.000
57  	  R  	  0.281  	  1.000
58  	  N  	  0.276  	  1.000
59  	  N  	  0.271  	  1.000
60  	  N  	  0.267  	  1.000
61  	  N  	  0.262  	  1.000
62  	  N  	  0.258  	  1.000
63  	  R  	  0.270  	  1.000
64  	  N  	  0.266  	  1.000
65  	  N  	  0.262  	  1.000
66  	  N  	  0.258  	  1.000
67  	  R  	  0.269  	  1.000
68  	  N  	  0.265  	  1.000
69  	  R  	  0.275  	  1.000
70  	  N  	  0.271  	  1.000
71  	  N  	  0.268  	  1.000
72  	  N  	  0.264  	  1.000
73  	  N  	  0.260  	  1.000
74  	  N  	  0.257  	  1.000
75  	  N  	  0.253  	  1.000
76  	  R  	  0.263  	  1.000
77  	  N  	  0.260  	  1.000
78  	  N  	  0.256  	  1.000
79  	  N  	  0.253  	  1.000
80  	  N  	  0.250  	  1.000
81  	  N  	  0.247  	  1.000
82  	  N  	  0.244  	  1.000
83  	  N  	  0.241  	  1.000
84  	  N  	  0.238  	  1.000
85  	  N  	  0.235  	  1.000
86  	  N  	  0.233  	  1.000
87  	  N  	  0.230  	  1.000
88  	  N  	  0.227  	  1.000
89  	  N  	  0.225  	  1.000
90  	  N  	  0.222  	  1.000
91  	  N  	  0.220  	  1.000
92  	  R  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  N  	  0.212  	  1.000
100  	  N  	  0.210  	  1.000


Average precision = 0.2724129937369712

Average recall = 0.93
