For Query: i am interested in hidden line and hidden surface algorithms for cylinders toroids spheres and cones this is a rather specialized topic in computer graphics

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  R  	  1.000  	  0.800
05  	  R  	  1.000  	  1.000
06  	  N  	  0.833  	  1.000
07  	  N  	  0.714  	  1.000
08  	  R  	  0.750  	  1.000
09  	  R  	  0.778  	  1.000
10  	  R  	  0.800  	  1.000
11  	  R  	  0.818  	  1.000
12  	  R  	  0.833  	  1.000
13  	  N  	  0.769  	  1.000
14  	  R  	  0.786  	  1.000
15  	  R  	  0.800  	  1.000
16  	  R  	  0.812  	  1.000
17  	  N  	  0.765  	  1.000
18  	  N  	  0.722  	  1.000
19  	  N  	  0.684  	  1.000
20  	  N  	  0.650  	  1.000
21  	  N  	  0.619  	  1.000
22  	  N  	  0.591  	  1.000
23  	  N  	  0.565  	  1.000
24  	  N  	  0.542  	  1.000
25  	  N  	  0.520  	  1.000
26  	  N  	  0.500  	  1.000
27  	  N  	  0.481  	  1.000
28  	  N  	  0.464  	  1.000
29  	  N  	  0.448  	  1.000
30  	  R  	  0.467  	  1.000
31  	  N  	  0.452  	  1.000
32  	  N  	  0.438  	  1.000
33  	  N  	  0.424  	  1.000
34  	  N  	  0.412  	  1.000
35  	  N  	  0.400  	  1.000
36  	  N  	  0.389  	  1.000
37  	  N  	  0.378  	  1.000
38  	  N  	  0.368  	  1.000
39  	  N  	  0.359  	  1.000
40  	  N  	  0.350  	  1.000
41  	  N  	  0.341  	  1.000
42  	  N  	  0.333  	  1.000
43  	  N  	  0.326  	  1.000
44  	  N  	  0.318  	  1.000
45  	  N  	  0.311  	  1.000
46  	  N  	  0.304  	  1.000
47  	  N  	  0.298  	  1.000
48  	  N  	  0.292  	  1.000
49  	  N  	  0.286  	  1.000
50  	  N  	  0.280  	  1.000
51  	  N  	  0.275  	  1.000
52  	  N  	  0.269  	  1.000
53  	  N  	  0.264  	  1.000
54  	  N  	  0.259  	  1.000
55  	  N  	  0.255  	  1.000
56  	  N  	  0.250  	  1.000
57  	  N  	  0.246  	  1.000
58  	  N  	  0.241  	  1.000
59  	  R  	  0.254  	  1.000
60  	  N  	  0.250  	  1.000
61  	  N  	  0.246  	  1.000
62  	  N  	  0.242  	  1.000
63  	  N  	  0.238  	  1.000
64  	  N  	  0.234  	  1.000
65  	  R  	  0.246  	  1.000
66  	  N  	  0.242  	  1.000
67  	  N  	  0.239  	  1.000
68  	  N  	  0.235  	  1.000
69  	  N  	  0.232  	  1.000
70  	  N  	  0.229  	  1.000
71  	  N  	  0.225  	  1.000
72  	  N  	  0.222  	  1.000
73  	  N  	  0.219  	  1.000
74  	  N  	  0.216  	  1.000
75  	  N  	  0.213  	  1.000
76  	  R  	  0.224  	  1.000
77  	  N  	  0.221  	  1.000
78  	  N  	  0.218  	  1.000
79  	  N  	  0.215  	  1.000
80  	  N  	  0.212  	  1.000
81  	  N  	  0.210  	  1.000
82  	  N  	  0.207  	  1.000
83  	  N  	  0.205  	  1.000
84  	  N  	  0.202  	  1.000
85  	  N  	  0.200  	  1.000
86  	  N  	  0.198  	  1.000
87  	  N  	  0.195  	  1.000
88  	  N  	  0.193  	  1.000
89  	  N  	  0.191  	  1.000
90  	  N  	  0.189  	  1.000
91  	  N  	  0.187  	  1.000
92  	  N  	  0.185  	  1.000
93  	  N  	  0.183  	  1.000
94  	  N  	  0.181  	  1.000
95  	  N  	  0.179  	  1.000
96  	  N  	  0.177  	  1.000
97  	  N  	  0.175  	  1.000
98  	  N  	  0.173  	  1.000
99  	  N  	  0.172  	  1.000
100  	  N  	  0.170  	  1.000


Average precision = 0.3967714299416508

Average recall = 0.98
