For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  R  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  R  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  R  	  0.333  	  0.800
13  	  R  	  0.385  	  1.000
14  	  N  	  0.357  	  1.000
15  	  R  	  0.400  	  1.000
16  	  R  	  0.438  	  1.000
17  	  N  	  0.412  	  1.000
18  	  N  	  0.389  	  1.000
19  	  R  	  0.421  	  1.000
20  	  N  	  0.400  	  1.000
21  	  N  	  0.381  	  1.000
22  	  R  	  0.409  	  1.000
23  	  R  	  0.435  	  1.000
24  	  N  	  0.417  	  1.000
25  	  N  	  0.400  	  1.000
26  	  N  	  0.385  	  1.000
27  	  N  	  0.370  	  1.000
28  	  N  	  0.357  	  1.000
29  	  N  	  0.345  	  1.000
30  	  N  	  0.333  	  1.000
31  	  N  	  0.323  	  1.000
32  	  N  	  0.312  	  1.000
33  	  R  	  0.333  	  1.000
34  	  N  	  0.324  	  1.000
35  	  R  	  0.343  	  1.000
36  	  N  	  0.333  	  1.000
37  	  N  	  0.324  	  1.000
38  	  R  	  0.342  	  1.000
39  	  R  	  0.359  	  1.000
40  	  R  	  0.375  	  1.000
41  	  N  	  0.366  	  1.000
42  	  N  	  0.357  	  1.000
43  	  R  	  0.372  	  1.000
44  	  R  	  0.386  	  1.000
45  	  N  	  0.378  	  1.000
46  	  N  	  0.370  	  1.000
47  	  N  	  0.362  	  1.000
48  	  N  	  0.354  	  1.000
49  	  N  	  0.347  	  1.000
50  	  N  	  0.340  	  1.000
51  	  N  	  0.333  	  1.000
52  	  R  	  0.346  	  1.000
53  	  N  	  0.340  	  1.000
54  	  N  	  0.333  	  1.000
55  	  N  	  0.327  	  1.000
56  	  N  	  0.321  	  1.000
57  	  N  	  0.316  	  1.000
58  	  N  	  0.310  	  1.000
59  	  N  	  0.305  	  1.000
60  	  R  	  0.317  	  1.000
61  	  R  	  0.328  	  1.000
62  	  N  	  0.323  	  1.000
63  	  N  	  0.317  	  1.000
64  	  N  	  0.312  	  1.000
65  	  N  	  0.308  	  1.000
66  	  N  	  0.303  	  1.000
67  	  N  	  0.299  	  1.000
68  	  N  	  0.294  	  1.000
69  	  N  	  0.290  	  1.000
70  	  N  	  0.286  	  1.000
71  	  N  	  0.282  	  1.000
72  	  N  	  0.278  	  1.000
73  	  N  	  0.274  	  1.000
74  	  N  	  0.270  	  1.000
75  	  N  	  0.267  	  1.000
76  	  N  	  0.263  	  1.000
77  	  N  	  0.260  	  1.000
78  	  N  	  0.256  	  1.000
79  	  N  	  0.253  	  1.000
80  	  N  	  0.250  	  1.000
81  	  N  	  0.247  	  1.000
82  	  N  	  0.244  	  1.000
83  	  N  	  0.241  	  1.000
84  	  R  	  0.250  	  1.000
85  	  N  	  0.247  	  1.000
86  	  N  	  0.244  	  1.000
87  	  N  	  0.241  	  1.000
88  	  N  	  0.239  	  1.000
89  	  N  	  0.236  	  1.000
90  	  N  	  0.233  	  1.000
91  	  N  	  0.231  	  1.000
92  	  N  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  R  	  0.222  	  1.000
100  	  N  	  0.220  	  1.000


Average precision = 0.3032091219238441

Average recall = 0.924
