For Query: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  R  	  0.667  	  1.000
10  	  N  	  0.600  	  1.000
11  	  R  	  0.636  	  1.000
12  	  R  	  0.667  	  1.000
13  	  N  	  0.615  	  1.000
14  	  N  	  0.571  	  1.000
15  	  N  	  0.533  	  1.000
16  	  N  	  0.500  	  1.000
17  	  N  	  0.471  	  1.000
18  	  N  	  0.444  	  1.000
19  	  N  	  0.421  	  1.000
20  	  N  	  0.400  	  1.000
21  	  N  	  0.381  	  1.000
22  	  N  	  0.364  	  1.000
23  	  N  	  0.348  	  1.000
24  	  N  	  0.333  	  1.000
25  	  N  	  0.320  	  1.000
26  	  R  	  0.346  	  1.000
27  	  R  	  0.370  	  1.000
28  	  N  	  0.357  	  1.000
29  	  N  	  0.345  	  1.000
30  	  N  	  0.333  	  1.000
31  	  N  	  0.323  	  1.000
32  	  N  	  0.312  	  1.000
33  	  N  	  0.303  	  1.000
34  	  N  	  0.294  	  1.000
35  	  N  	  0.286  	  1.000
36  	  N  	  0.278  	  1.000
37  	  N  	  0.270  	  1.000
38  	  N  	  0.263  	  1.000
39  	  N  	  0.256  	  1.000
40  	  R  	  0.275  	  1.000
41  	  R  	  0.293  	  1.000
42  	  N  	  0.286  	  1.000
43  	  R  	  0.302  	  1.000
44  	  N  	  0.295  	  1.000
45  	  N  	  0.289  	  1.000
46  	  N  	  0.283  	  1.000
47  	  N  	  0.277  	  1.000
48  	  N  	  0.271  	  1.000
49  	  N  	  0.265  	  1.000
50  	  N  	  0.260  	  1.000
51  	  N  	  0.255  	  1.000
52  	  R  	  0.269  	  1.000
53  	  N  	  0.264  	  1.000
54  	  N  	  0.259  	  1.000
55  	  N  	  0.255  	  1.000
56  	  N  	  0.250  	  1.000
57  	  N  	  0.246  	  1.000
58  	  N  	  0.241  	  1.000
59  	  N  	  0.237  	  1.000
60  	  N  	  0.233  	  1.000
61  	  N  	  0.230  	  1.000
62  	  N  	  0.226  	  1.000
63  	  R  	  0.238  	  1.000
64  	  N  	  0.234  	  1.000
65  	  N  	  0.231  	  1.000
66  	  N  	  0.227  	  1.000
67  	  N  	  0.224  	  1.000
68  	  N  	  0.221  	  1.000
69  	  N  	  0.217  	  1.000
70  	  N  	  0.214  	  1.000
71  	  N  	  0.211  	  1.000
72  	  N  	  0.208  	  1.000
73  	  R  	  0.219  	  1.000
74  	  R  	  0.230  	  1.000
75  	  N  	  0.227  	  1.000
76  	  N  	  0.224  	  1.000
77  	  N  	  0.221  	  1.000
78  	  N  	  0.218  	  1.000
79  	  N  	  0.215  	  1.000
80  	  N  	  0.212  	  1.000
81  	  N  	  0.210  	  1.000
82  	  N  	  0.207  	  1.000
83  	  N  	  0.205  	  1.000
84  	  N  	  0.202  	  1.000
85  	  N  	  0.200  	  1.000
86  	  N  	  0.198  	  1.000
87  	  N  	  0.195  	  1.000
88  	  N  	  0.193  	  1.000
89  	  N  	  0.191  	  1.000
90  	  N  	  0.189  	  1.000
91  	  R  	  0.198  	  1.000
92  	  R  	  0.207  	  1.000
93  	  N  	  0.204  	  1.000
94  	  N  	  0.202  	  1.000
95  	  N  	  0.200  	  1.000
96  	  N  	  0.198  	  1.000
97  	  N  	  0.196  	  1.000
98  	  N  	  0.194  	  1.000
99  	  N  	  0.192  	  1.000
100  	  N  	  0.190  	  1.000


Average precision = 0.32845417615509026

Average recall = 0.97
