For Query: performance evaluation and modelling of computer systems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  R  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  N  	  0.333  	  0.400
07  	  N  	  0.286  	  0.400
08  	  N  	  0.250  	  0.400
09  	  N  	  0.222  	  0.400
10  	  R  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  N  	  0.250  	  0.600
13  	  N  	  0.231  	  0.600
14  	  N  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  R  	  0.250  	  0.800
17  	  R  	  0.294  	  1.000
18  	  N  	  0.278  	  1.000
19  	  N  	  0.263  	  1.000
20  	  N  	  0.250  	  1.000
21  	  N  	  0.238  	  1.000
22  	  N  	  0.227  	  1.000
23  	  N  	  0.217  	  1.000
24  	  N  	  0.208  	  1.000
25  	  N  	  0.200  	  1.000
26  	  N  	  0.192  	  1.000
27  	  N  	  0.185  	  1.000
28  	  N  	  0.179  	  1.000
29  	  N  	  0.172  	  1.000
30  	  N  	  0.167  	  1.000
31  	  N  	  0.161  	  1.000
32  	  N  	  0.156  	  1.000
33  	  N  	  0.152  	  1.000
34  	  R  	  0.176  	  1.000
35  	  N  	  0.171  	  1.000
36  	  R  	  0.194  	  1.000
37  	  N  	  0.189  	  1.000
38  	  N  	  0.184  	  1.000
39  	  N  	  0.179  	  1.000
40  	  N  	  0.175  	  1.000
41  	  N  	  0.171  	  1.000
42  	  N  	  0.167  	  1.000
43  	  N  	  0.163  	  1.000
44  	  N  	  0.159  	  1.000
45  	  N  	  0.156  	  1.000
46  	  N  	  0.152  	  1.000
47  	  N  	  0.149  	  1.000
48  	  R  	  0.167  	  1.000
49  	  N  	  0.163  	  1.000
50  	  R  	  0.180  	  1.000
51  	  N  	  0.176  	  1.000
52  	  N  	  0.173  	  1.000
53  	  N  	  0.170  	  1.000
54  	  N  	  0.167  	  1.000
55  	  N  	  0.164  	  1.000
56  	  N  	  0.161  	  1.000
57  	  N  	  0.158  	  1.000
58  	  N  	  0.155  	  1.000
59  	  R  	  0.169  	  1.000
60  	  N  	  0.167  	  1.000
61  	  N  	  0.164  	  1.000
62  	  N  	  0.161  	  1.000
63  	  N  	  0.159  	  1.000
64  	  N  	  0.156  	  1.000
65  	  N  	  0.154  	  1.000
66  	  N  	  0.152  	  1.000
67  	  N  	  0.149  	  1.000
68  	  N  	  0.147  	  1.000
69  	  N  	  0.145  	  1.000
70  	  R  	  0.157  	  1.000
71  	  N  	  0.155  	  1.000
72  	  N  	  0.153  	  1.000
73  	  N  	  0.151  	  1.000
74  	  N  	  0.149  	  1.000
75  	  N  	  0.147  	  1.000
76  	  N  	  0.145  	  1.000
77  	  N  	  0.143  	  1.000
78  	  N  	  0.141  	  1.000
79  	  N  	  0.139  	  1.000
80  	  N  	  0.138  	  1.000
81  	  N  	  0.136  	  1.000
82  	  N  	  0.134  	  1.000
83  	  N  	  0.133  	  1.000
84  	  N  	  0.131  	  1.000
85  	  N  	  0.129  	  1.000
86  	  R  	  0.140  	  1.000
87  	  N  	  0.138  	  1.000
88  	  N  	  0.136  	  1.000
89  	  N  	  0.135  	  1.000
90  	  N  	  0.133  	  1.000
91  	  N  	  0.132  	  1.000
92  	  N  	  0.130  	  1.000
93  	  N  	  0.129  	  1.000
94  	  N  	  0.128  	  1.000
95  	  N  	  0.126  	  1.000
96  	  N  	  0.125  	  1.000
97  	  N  	  0.124  	  1.000
98  	  N  	  0.122  	  1.000
99  	  N  	  0.121  	  1.000
100  	  N  	  0.120  	  1.000


Average precision = 0.19243978435536901

Average recall = 0.914
