For Query: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  N  	  0.000  	  0.000
05  	  N  	  0.000  	  0.000
06  	  N  	  0.000  	  0.000
07  	  N  	  0.000  	  0.000
08  	  N  	  0.000  	  0.000
09  	  N  	  0.000  	  0.000
10  	  N  	  0.000  	  0.000
11  	  N  	  0.000  	  0.000
12  	  N  	  0.000  	  0.000
13  	  N  	  0.000  	  0.000
14  	  N  	  0.000  	  0.000
15  	  N  	  0.000  	  0.000
16  	  N  	  0.000  	  0.000
17  	  N  	  0.000  	  0.000
18  	  N  	  0.000  	  0.000
19  	  N  	  0.000  	  0.000
20  	  N  	  0.000  	  0.000
21  	  R  	  0.048  	  0.200
22  	  N  	  0.045  	  0.200
23  	  N  	  0.043  	  0.200
24  	  N  	  0.042  	  0.200
25  	  N  	  0.040  	  0.200
26  	  R  	  0.077  	  0.400
27  	  R  	  0.111  	  0.600
28  	  R  	  0.143  	  0.800
29  	  N  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  N  	  0.129  	  0.800
32  	  N  	  0.125  	  0.800
33  	  N  	  0.121  	  0.800
34  	  N  	  0.118  	  0.800
35  	  N  	  0.114  	  0.800
36  	  N  	  0.111  	  0.800
37  	  R  	  0.135  	  1.000
38  	  N  	  0.132  	  1.000
39  	  N  	  0.128  	  1.000
40  	  N  	  0.125  	  1.000
41  	  N  	  0.122  	  1.000
42  	  R  	  0.143  	  1.000
43  	  N  	  0.140  	  1.000
44  	  N  	  0.136  	  1.000
45  	  R  	  0.156  	  1.000
46  	  N  	  0.152  	  1.000
47  	  N  	  0.149  	  1.000
48  	  N  	  0.146  	  1.000
49  	  R  	  0.163  	  1.000
50  	  N  	  0.160  	  1.000
51  	  N  	  0.157  	  1.000
52  	  R  	  0.173  	  1.000
53  	  N  	  0.170  	  1.000
54  	  N  	  0.167  	  1.000
55  	  N  	  0.164  	  1.000
56  	  N  	  0.161  	  1.000
57  	  N  	  0.158  	  1.000
58  	  N  	  0.155  	  1.000
59  	  N  	  0.153  	  1.000
60  	  N  	  0.150  	  1.000
61  	  N  	  0.148  	  1.000
62  	  N  	  0.145  	  1.000
63  	  N  	  0.143  	  1.000
64  	  N  	  0.141  	  1.000
65  	  R  	  0.154  	  1.000
66  	  N  	  0.152  	  1.000
67  	  N  	  0.149  	  1.000
68  	  N  	  0.147  	  1.000
69  	  N  	  0.145  	  1.000
70  	  N  	  0.143  	  1.000
71  	  N  	  0.141  	  1.000
72  	  N  	  0.139  	  1.000
73  	  N  	  0.137  	  1.000
74  	  N  	  0.135  	  1.000
75  	  N  	  0.133  	  1.000
76  	  N  	  0.132  	  1.000
77  	  N  	  0.130  	  1.000
78  	  N  	  0.128  	  1.000
79  	  N  	  0.127  	  1.000
80  	  N  	  0.125  	  1.000
81  	  N  	  0.123  	  1.000
82  	  N  	  0.122  	  1.000
83  	  N  	  0.120  	  1.000
84  	  N  	  0.119  	  1.000
85  	  N  	  0.118  	  1.000
86  	  N  	  0.116  	  1.000
87  	  N  	  0.115  	  1.000
88  	  N  	  0.114  	  1.000
89  	  N  	  0.112  	  1.000
90  	  R  	  0.122  	  1.000
91  	  N  	  0.121  	  1.000
92  	  N  	  0.120  	  1.000
93  	  N  	  0.118  	  1.000
94  	  N  	  0.117  	  1.000
95  	  N  	  0.116  	  1.000
96  	  N  	  0.115  	  1.000
97  	  N  	  0.113  	  1.000
98  	  R  	  0.122  	  1.000
99  	  N  	  0.121  	  1.000
100  	  N  	  0.120  	  1.000


Average precision = 0.10288704356468646

Average recall = 0.732
