For Query: information retrieval articles by gerard salton or others about clustering bibliographic coupling use of citations or co citations the vector space model boolean search methods using inverted files feedback etc salton g

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  R  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  R  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  R  	  0.556  	  1.000
10  	  N  	  0.500  	  1.000
11  	  N  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  R  	  0.462  	  1.000
14  	  N  	  0.429  	  1.000
15  	  N  	  0.400  	  1.000
16  	  R  	  0.438  	  1.000
17  	  N  	  0.412  	  1.000
18  	  R  	  0.444  	  1.000
19  	  R  	  0.474  	  1.000
20  	  R  	  0.500  	  1.000
21  	  N  	  0.476  	  1.000
22  	  N  	  0.455  	  1.000
23  	  N  	  0.435  	  1.000
24  	  R  	  0.458  	  1.000
25  	  N  	  0.440  	  1.000
26  	  R  	  0.462  	  1.000
27  	  N  	  0.444  	  1.000
28  	  R  	  0.464  	  1.000
29  	  N  	  0.448  	  1.000
30  	  N  	  0.433  	  1.000
31  	  R  	  0.452  	  1.000
32  	  N  	  0.438  	  1.000
33  	  N  	  0.424  	  1.000
34  	  N  	  0.412  	  1.000
35  	  N  	  0.400  	  1.000
36  	  R  	  0.417  	  1.000
37  	  N  	  0.405  	  1.000
38  	  N  	  0.395  	  1.000
39  	  N  	  0.385  	  1.000
40  	  R  	  0.400  	  1.000
41  	  N  	  0.390  	  1.000
42  	  N  	  0.381  	  1.000
43  	  N  	  0.372  	  1.000
44  	  N  	  0.364  	  1.000
45  	  R  	  0.378  	  1.000
46  	  R  	  0.391  	  1.000
47  	  N  	  0.383  	  1.000
48  	  N  	  0.375  	  1.000
49  	  N  	  0.367  	  1.000
50  	  N  	  0.360  	  1.000
51  	  N  	  0.353  	  1.000
52  	  R  	  0.365  	  1.000
53  	  N  	  0.358  	  1.000
54  	  N  	  0.352  	  1.000
55  	  N  	  0.345  	  1.000
56  	  N  	  0.339  	  1.000
57  	  N  	  0.333  	  1.000
58  	  N  	  0.328  	  1.000
59  	  N  	  0.322  	  1.000
60  	  N  	  0.317  	  1.000
61  	  N  	  0.311  	  1.000
62  	  N  	  0.306  	  1.000
63  	  N  	  0.302  	  1.000
64  	  R  	  0.312  	  1.000
65  	  N  	  0.308  	  1.000
66  	  N  	  0.303  	  1.000
67  	  N  	  0.299  	  1.000
68  	  N  	  0.294  	  1.000
69  	  N  	  0.290  	  1.000
70  	  N  	  0.286  	  1.000
71  	  N  	  0.282  	  1.000
72  	  N  	  0.278  	  1.000
73  	  N  	  0.274  	  1.000
74  	  N  	  0.270  	  1.000
75  	  N  	  0.267  	  1.000
76  	  N  	  0.263  	  1.000
77  	  N  	  0.260  	  1.000
78  	  N  	  0.256  	  1.000
79  	  N  	  0.253  	  1.000
80  	  N  	  0.250  	  1.000
81  	  N  	  0.247  	  1.000
82  	  N  	  0.244  	  1.000
83  	  N  	  0.241  	  1.000
84  	  N  	  0.238  	  1.000
85  	  N  	  0.235  	  1.000
86  	  N  	  0.233  	  1.000
87  	  N  	  0.230  	  1.000
88  	  N  	  0.227  	  1.000
89  	  N  	  0.225  	  1.000
90  	  N  	  0.222  	  1.000
91  	  N  	  0.220  	  1.000
92  	  N  	  0.217  	  1.000
93  	  N  	  0.215  	  1.000
94  	  N  	  0.213  	  1.000
95  	  N  	  0.211  	  1.000
96  	  N  	  0.208  	  1.000
97  	  N  	  0.206  	  1.000
98  	  N  	  0.204  	  1.000
99  	  N  	  0.202  	  1.000
100  	  N  	  0.200  	  1.000


Average precision = 0.3649074882216257

Average recall = 0.9620000000000001
