For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  R  	  0.800  	  0.800
06  	  N  	  0.667  	  0.800
07  	  R  	  0.714  	  1.000
08  	  R  	  0.750  	  1.000
09  	  N  	  0.667  	  1.000
10  	  R  	  0.700  	  1.000
11  	  N  	  0.636  	  1.000
12  	  N  	  0.583  	  1.000
13  	  N  	  0.538  	  1.000
14  	  R  	  0.571  	  1.000
15  	  N  	  0.533  	  1.000
16  	  R  	  0.562  	  1.000
17  	  R  	  0.588  	  1.000
18  	  R  	  0.611  	  1.000
19  	  R  	  0.632  	  1.000
20  	  R  	  0.650  	  1.000
21  	  N  	  0.619  	  1.000
22  	  R  	  0.636  	  1.000
23  	  R  	  0.652  	  1.000
24  	  N  	  0.625  	  1.000
25  	  R  	  0.640  	  1.000
26  	  N  	  0.615  	  1.000
27  	  N  	  0.593  	  1.000
28  	  R  	  0.607  	  1.000
29  	  N  	  0.586  	  1.000
30  	  N  	  0.567  	  1.000
31  	  N  	  0.548  	  1.000
32  	  N  	  0.531  	  1.000
33  	  N  	  0.515  	  1.000
34  	  N  	  0.500  	  1.000
35  	  N  	  0.486  	  1.000
36  	  N  	  0.472  	  1.000
37  	  N  	  0.459  	  1.000
38  	  N  	  0.447  	  1.000
39  	  N  	  0.436  	  1.000
40  	  N  	  0.425  	  1.000
41  	  N  	  0.415  	  1.000
42  	  N  	  0.405  	  1.000
43  	  R  	  0.419  	  1.000
44  	  N  	  0.409  	  1.000
45  	  R  	  0.422  	  1.000
46  	  R  	  0.435  	  1.000
47  	  N  	  0.426  	  1.000
48  	  N  	  0.417  	  1.000
49  	  N  	  0.408  	  1.000
50  	  N  	  0.400  	  1.000
51  	  R  	  0.412  	  1.000
52  	  N  	  0.404  	  1.000
53  	  N  	  0.396  	  1.000
54  	  N  	  0.389  	  1.000
55  	  N  	  0.382  	  1.000
56  	  N  	  0.375  	  1.000
57  	  N  	  0.368  	  1.000
58  	  N  	  0.362  	  1.000
59  	  N  	  0.356  	  1.000
60  	  N  	  0.350  	  1.000
61  	  N  	  0.344  	  1.000
62  	  N  	  0.339  	  1.000
63  	  N  	  0.333  	  1.000
64  	  N  	  0.328  	  1.000
65  	  N  	  0.323  	  1.000
66  	  N  	  0.318  	  1.000
67  	  N  	  0.313  	  1.000
68  	  N  	  0.309  	  1.000
69  	  N  	  0.304  	  1.000
70  	  N  	  0.300  	  1.000
71  	  N  	  0.296  	  1.000
72  	  N  	  0.292  	  1.000
73  	  N  	  0.288  	  1.000
74  	  N  	  0.284  	  1.000
75  	  N  	  0.280  	  1.000
76  	  N  	  0.276  	  1.000
77  	  N  	  0.273  	  1.000
78  	  N  	  0.269  	  1.000
79  	  N  	  0.266  	  1.000
80  	  N  	  0.263  	  1.000
81  	  N  	  0.259  	  1.000
82  	  N  	  0.256  	  1.000
83  	  N  	  0.253  	  1.000
84  	  N  	  0.250  	  1.000
85  	  N  	  0.247  	  1.000
86  	  N  	  0.244  	  1.000
87  	  N  	  0.241  	  1.000
88  	  N  	  0.239  	  1.000
89  	  N  	  0.236  	  1.000
90  	  N  	  0.233  	  1.000
91  	  N  	  0.231  	  1.000
92  	  N  	  0.228  	  1.000
93  	  N  	  0.226  	  1.000
94  	  N  	  0.223  	  1.000
95  	  N  	  0.221  	  1.000
96  	  N  	  0.219  	  1.000
97  	  N  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  N  	  0.212  	  1.000
100  	  N  	  0.210  	  1.000


Average precision = 0.43521068100857035

Average recall = 0.9740000000000001
