For Query: setl very high level languages

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  R  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  R  	  0.364  	  0.800
12  	  N  	  0.333  	  0.800
13  	  R  	  0.385  	  1.000
14  	  R  	  0.429  	  1.000
15  	  R  	  0.467  	  1.000
16  	  N  	  0.438  	  1.000
17  	  N  	  0.412  	  1.000
18  	  N  	  0.389  	  1.000
19  	  R  	  0.421  	  1.000
20  	  R  	  0.450  	  1.000
21  	  N  	  0.429  	  1.000
22  	  N  	  0.409  	  1.000
23  	  R  	  0.435  	  1.000
24  	  N  	  0.417  	  1.000
25  	  N  	  0.400  	  1.000
26  	  N  	  0.385  	  1.000
27  	  N  	  0.370  	  1.000
28  	  N  	  0.357  	  1.000
29  	  N  	  0.345  	  1.000
30  	  R  	  0.367  	  1.000
31  	  N  	  0.355  	  1.000
32  	  N  	  0.344  	  1.000
33  	  N  	  0.333  	  1.000
34  	  N  	  0.324  	  1.000
35  	  N  	  0.314  	  1.000
36  	  N  	  0.306  	  1.000
37  	  N  	  0.297  	  1.000
38  	  N  	  0.289  	  1.000
39  	  N  	  0.282  	  1.000
40  	  N  	  0.275  	  1.000
41  	  N  	  0.268  	  1.000
42  	  N  	  0.262  	  1.000
43  	  N  	  0.256  	  1.000
44  	  N  	  0.250  	  1.000
45  	  N  	  0.244  	  1.000
46  	  N  	  0.239  	  1.000
47  	  N  	  0.234  	  1.000
48  	  N  	  0.229  	  1.000
49  	  N  	  0.224  	  1.000
50  	  N  	  0.220  	  1.000
51  	  N  	  0.216  	  1.000
52  	  N  	  0.212  	  1.000
53  	  N  	  0.208  	  1.000
54  	  N  	  0.204  	  1.000
55  	  N  	  0.200  	  1.000
56  	  N  	  0.196  	  1.000
57  	  N  	  0.193  	  1.000
58  	  N  	  0.190  	  1.000
59  	  N  	  0.186  	  1.000
60  	  N  	  0.183  	  1.000
61  	  N  	  0.180  	  1.000
62  	  N  	  0.177  	  1.000
63  	  N  	  0.175  	  1.000
64  	  N  	  0.172  	  1.000
65  	  N  	  0.169  	  1.000
66  	  N  	  0.167  	  1.000
67  	  N  	  0.164  	  1.000
68  	  N  	  0.162  	  1.000
69  	  N  	  0.159  	  1.000
70  	  N  	  0.157  	  1.000
71  	  N  	  0.155  	  1.000
72  	  N  	  0.153  	  1.000
73  	  N  	  0.151  	  1.000
74  	  N  	  0.149  	  1.000
75  	  N  	  0.147  	  1.000
76  	  R  	  0.158  	  1.000
77  	  N  	  0.156  	  1.000
78  	  N  	  0.154  	  1.000
79  	  N  	  0.152  	  1.000
80  	  N  	  0.150  	  1.000
81  	  N  	  0.148  	  1.000
82  	  N  	  0.146  	  1.000
83  	  N  	  0.145  	  1.000
84  	  N  	  0.143  	  1.000
85  	  N  	  0.141  	  1.000
86  	  N  	  0.140  	  1.000
87  	  N  	  0.138  	  1.000
88  	  N  	  0.136  	  1.000
89  	  N  	  0.135  	  1.000
90  	  N  	  0.133  	  1.000
91  	  N  	  0.132  	  1.000
92  	  N  	  0.130  	  1.000
93  	  N  	  0.129  	  1.000
94  	  N  	  0.128  	  1.000
95  	  N  	  0.126  	  1.000
96  	  N  	  0.125  	  1.000
97  	  N  	  0.124  	  1.000
98  	  N  	  0.122  	  1.000
99  	  N  	  0.121  	  1.000
100  	  N  	  0.120  	  1.000


Average precision = 0.2710465145076971

Average recall = 0.946
