For Query: what is the type of a module i don t want the entire literature on abstract data types here but i m not sure how to phrase this to avoid it i m interested in questions about how one can check that a module matches contexts in which it is used

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  N  	  0.500  	  0.200
03  	  N  	  0.333  	  0.200
04  	  N  	  0.250  	  0.200
05  	  N  	  0.200  	  0.200
06  	  N  	  0.167  	  0.200
07  	  N  	  0.143  	  0.200
08  	  N  	  0.125  	  0.200
09  	  N  	  0.111  	  0.200
10  	  N  	  0.100  	  0.200
11  	  N  	  0.091  	  0.200
12  	  N  	  0.083  	  0.200
13  	  R  	  0.154  	  0.400
14  	  R  	  0.214  	  0.600
15  	  N  	  0.200  	  0.600
16  	  N  	  0.188  	  0.600
17  	  N  	  0.176  	  0.600
18  	  N  	  0.167  	  0.600
19  	  N  	  0.158  	  0.600
20  	  N  	  0.150  	  0.600
21  	  N  	  0.143  	  0.600
22  	  N  	  0.136  	  0.600
23  	  R  	  0.174  	  0.800
24  	  N  	  0.167  	  0.800
25  	  N  	  0.160  	  0.800
26  	  N  	  0.154  	  0.800
27  	  N  	  0.148  	  0.800
28  	  N  	  0.143  	  0.800
29  	  N  	  0.138  	  0.800
30  	  N  	  0.133  	  0.800
31  	  N  	  0.129  	  0.800
32  	  N  	  0.125  	  0.800
33  	  N  	  0.121  	  0.800
34  	  N  	  0.118  	  0.800
35  	  N  	  0.114  	  0.800
36  	  N  	  0.111  	  0.800
37  	  N  	  0.108  	  0.800
38  	  N  	  0.105  	  0.800
39  	  N  	  0.103  	  0.800
40  	  N  	  0.100  	  0.800
41  	  N  	  0.098  	  0.800
42  	  R  	  0.119  	  1.000
43  	  N  	  0.116  	  1.000
44  	  R  	  0.136  	  1.000
45  	  N  	  0.133  	  1.000
46  	  N  	  0.130  	  1.000
47  	  N  	  0.128  	  1.000
48  	  N  	  0.125  	  1.000
49  	  N  	  0.122  	  1.000
50  	  N  	  0.120  	  1.000
51  	  N  	  0.118  	  1.000
52  	  N  	  0.115  	  1.000
53  	  N  	  0.113  	  1.000
54  	  N  	  0.111  	  1.000
55  	  N  	  0.109  	  1.000
56  	  N  	  0.107  	  1.000
57  	  N  	  0.105  	  1.000
58  	  N  	  0.103  	  1.000
59  	  N  	  0.102  	  1.000
60  	  N  	  0.100  	  1.000
61  	  N  	  0.098  	  1.000
62  	  N  	  0.097  	  1.000
63  	  N  	  0.095  	  1.000
64  	  N  	  0.094  	  1.000
65  	  N  	  0.092  	  1.000
66  	  N  	  0.091  	  1.000
67  	  N  	  0.090  	  1.000
68  	  N  	  0.088  	  1.000
69  	  N  	  0.087  	  1.000
70  	  N  	  0.086  	  1.000
71  	  N  	  0.085  	  1.000
72  	  N  	  0.083  	  1.000
73  	  N  	  0.082  	  1.000
74  	  N  	  0.081  	  1.000
75  	  N  	  0.080  	  1.000
76  	  N  	  0.079  	  1.000
77  	  N  	  0.078  	  1.000
78  	  N  	  0.077  	  1.000
79  	  N  	  0.076  	  1.000
80  	  N  	  0.075  	  1.000
81  	  N  	  0.074  	  1.000
82  	  N  	  0.073  	  1.000
83  	  N  	  0.072  	  1.000
84  	  N  	  0.071  	  1.000
85  	  N  	  0.071  	  1.000
86  	  N  	  0.070  	  1.000
87  	  N  	  0.069  	  1.000
88  	  N  	  0.068  	  1.000
89  	  N  	  0.067  	  1.000
90  	  N  	  0.067  	  1.000
91  	  N  	  0.066  	  1.000
92  	  N  	  0.065  	  1.000
93  	  N  	  0.065  	  1.000
94  	  N  	  0.064  	  1.000
95  	  R  	  0.074  	  1.000
96  	  N  	  0.073  	  1.000
97  	  R  	  0.082  	  1.000
98  	  N  	  0.082  	  1.000
99  	  N  	  0.081  	  1.000
100  	  N  	  0.080  	  1.000


Average precision = 0.12599347241459868

Average recall = 0.8240000000000001
