For Query: dictionary construction and accessing methods for fast retrieval of words or lexical items or morphologically related information hashing or indexing methods are usually applied to english spelling or natural language problems

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  N  	  0.500  	  0.400
05  	  N  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  N  	  0.429  	  0.600
08  	  N  	  0.375  	  0.600
09  	  N  	  0.333  	  0.600
10  	  N  	  0.300  	  0.600
11  	  N  	  0.273  	  0.600
12  	  N  	  0.250  	  0.600
13  	  R  	  0.308  	  0.800
14  	  N  	  0.286  	  0.800
15  	  N  	  0.267  	  0.800
16  	  N  	  0.250  	  0.800
17  	  R  	  0.294  	  1.000
18  	  R  	  0.333  	  1.000
19  	  N  	  0.316  	  1.000
20  	  N  	  0.300  	  1.000
21  	  N  	  0.286  	  1.000
22  	  R  	  0.318  	  1.000
23  	  N  	  0.304  	  1.000
24  	  N  	  0.292  	  1.000
25  	  N  	  0.280  	  1.000
26  	  N  	  0.269  	  1.000
27  	  N  	  0.259  	  1.000
28  	  R  	  0.286  	  1.000
29  	  R  	  0.310  	  1.000
30  	  R  	  0.333  	  1.000
31  	  N  	  0.323  	  1.000
32  	  N  	  0.312  	  1.000
33  	  N  	  0.303  	  1.000
34  	  R  	  0.324  	  1.000
35  	  N  	  0.314  	  1.000
36  	  N  	  0.306  	  1.000
37  	  N  	  0.297  	  1.000
38  	  R  	  0.316  	  1.000
39  	  N  	  0.308  	  1.000
40  	  N  	  0.300  	  1.000
41  	  N  	  0.293  	  1.000
42  	  N  	  0.286  	  1.000
43  	  N  	  0.279  	  1.000
44  	  N  	  0.273  	  1.000
45  	  N  	  0.267  	  1.000
46  	  N  	  0.261  	  1.000
47  	  N  	  0.255  	  1.000
48  	  N  	  0.250  	  1.000
49  	  N  	  0.245  	  1.000
50  	  R  	  0.260  	  1.000
51  	  N  	  0.255  	  1.000
52  	  N  	  0.250  	  1.000
53  	  N  	  0.245  	  1.000
54  	  R  	  0.259  	  1.000
55  	  N  	  0.255  	  1.000
56  	  N  	  0.250  	  1.000
57  	  R  	  0.263  	  1.000
58  	  N  	  0.259  	  1.000
59  	  N  	  0.254  	  1.000
60  	  N  	  0.250  	  1.000
61  	  N  	  0.246  	  1.000
62  	  N  	  0.242  	  1.000
63  	  N  	  0.238  	  1.000
64  	  R  	  0.250  	  1.000
65  	  N  	  0.246  	  1.000
66  	  R  	  0.258  	  1.000
67  	  R  	  0.269  	  1.000
68  	  R  	  0.279  	  1.000
69  	  N  	  0.275  	  1.000
70  	  N  	  0.271  	  1.000
71  	  N  	  0.268  	  1.000
72  	  N  	  0.264  	  1.000
73  	  R  	  0.274  	  1.000
74  	  N  	  0.270  	  1.000
75  	  N  	  0.267  	  1.000
76  	  N  	  0.263  	  1.000
77  	  N  	  0.260  	  1.000
78  	  R  	  0.269  	  1.000
79  	  N  	  0.266  	  1.000
80  	  N  	  0.263  	  1.000
81  	  N  	  0.259  	  1.000
82  	  N  	  0.256  	  1.000
83  	  N  	  0.253  	  1.000
84  	  N  	  0.250  	  1.000
85  	  R  	  0.259  	  1.000
86  	  N  	  0.256  	  1.000
87  	  N  	  0.253  	  1.000
88  	  N  	  0.250  	  1.000
89  	  N  	  0.247  	  1.000
90  	  N  	  0.244  	  1.000
91  	  N  	  0.242  	  1.000
92  	  N  	  0.239  	  1.000
93  	  N  	  0.237  	  1.000
94  	  N  	  0.234  	  1.000
95  	  N  	  0.232  	  1.000
96  	  N  	  0.229  	  1.000
97  	  N  	  0.227  	  1.000
98  	  N  	  0.224  	  1.000
99  	  N  	  0.222  	  1.000
100  	  R  	  0.230  	  1.000


Average precision = 0.297082639573447

Average recall = 0.932
