For Query: parallel languages languages for parallel computation

RANK 	 R/N 	Precision 	  Recall

01  	  N  	  0.000  	  0.000
02  	  N  	  0.000  	  0.000
03  	  N  	  0.000  	  0.000
04  	  R  	  0.250  	  0.200
05  	  R  	  0.400  	  0.400
06  	  R  	  0.500  	  0.600
07  	  R  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  R  	  0.667  	  1.000
10  	  R  	  0.700  	  1.000
11  	  N  	  0.636  	  1.000
12  	  N  	  0.583  	  1.000
13  	  R  	  0.615  	  1.000
14  	  R  	  0.643  	  1.000
15  	  R  	  0.667  	  1.000
16  	  N  	  0.625  	  1.000
17  	  N  	  0.588  	  1.000
18  	  N  	  0.556  	  1.000
19  	  N  	  0.526  	  1.000
20  	  N  	  0.500  	  1.000
21  	  N  	  0.476  	  1.000
22  	  N  	  0.455  	  1.000
23  	  R  	  0.478  	  1.000
24  	  N  	  0.458  	  1.000
25  	  N  	  0.440  	  1.000
26  	  N  	  0.423  	  1.000
27  	  R  	  0.444  	  1.000
28  	  R  	  0.464  	  1.000
29  	  R  	  0.483  	  1.000
30  	  N  	  0.467  	  1.000
31  	  N  	  0.452  	  1.000
32  	  N  	  0.438  	  1.000
33  	  N  	  0.424  	  1.000
34  	  R  	  0.441  	  1.000
35  	  N  	  0.429  	  1.000
36  	  R  	  0.444  	  1.000
37  	  N  	  0.432  	  1.000
38  	  N  	  0.421  	  1.000
39  	  R  	  0.436  	  1.000
40  	  N  	  0.425  	  1.000
41  	  N  	  0.415  	  1.000
42  	  N  	  0.405  	  1.000
43  	  N  	  0.395  	  1.000
44  	  R  	  0.409  	  1.000
45  	  N  	  0.400  	  1.000
46  	  N  	  0.391  	  1.000
47  	  N  	  0.383  	  1.000
48  	  R  	  0.396  	  1.000
49  	  R  	  0.408  	  1.000
50  	  N  	  0.400  	  1.000
51  	  N  	  0.392  	  1.000
52  	  N  	  0.385  	  1.000
53  	  N  	  0.377  	  1.000
54  	  N  	  0.370  	  1.000
55  	  N  	  0.364  	  1.000
56  	  N  	  0.357  	  1.000
57  	  N  	  0.351  	  1.000
58  	  N  	  0.345  	  1.000
59  	  N  	  0.339  	  1.000
60  	  N  	  0.333  	  1.000
61  	  N  	  0.328  	  1.000
62  	  N  	  0.323  	  1.000
63  	  N  	  0.317  	  1.000
64  	  N  	  0.312  	  1.000
65  	  N  	  0.308  	  1.000
66  	  N  	  0.303  	  1.000
67  	  N  	  0.299  	  1.000
68  	  N  	  0.294  	  1.000
69  	  N  	  0.290  	  1.000
70  	  N  	  0.286  	  1.000
71  	  N  	  0.282  	  1.000
72  	  N  	  0.278  	  1.000
73  	  R  	  0.288  	  1.000
74  	  N  	  0.284  	  1.000
75  	  N  	  0.280  	  1.000
76  	  N  	  0.276  	  1.000
77  	  N  	  0.273  	  1.000
78  	  N  	  0.269  	  1.000
79  	  N  	  0.266  	  1.000
80  	  N  	  0.263  	  1.000
81  	  N  	  0.259  	  1.000
82  	  N  	  0.256  	  1.000
83  	  N  	  0.253  	  1.000
84  	  N  	  0.250  	  1.000
85  	  N  	  0.247  	  1.000
86  	  N  	  0.244  	  1.000
87  	  N  	  0.241  	  1.000
88  	  R  	  0.250  	  1.000
89  	  N  	  0.247  	  1.000
90  	  N  	  0.244  	  1.000
91  	  N  	  0.242  	  1.000
92  	  N  	  0.239  	  1.000
93  	  N  	  0.237  	  1.000
94  	  N  	  0.234  	  1.000
95  	  N  	  0.232  	  1.000
96  	  N  	  0.229  	  1.000
97  	  N  	  0.227  	  1.000
98  	  N  	  0.224  	  1.000
99  	  N  	  0.222  	  1.000
100  	  N  	  0.220  	  1.000


Average precision = 0.3681394398049626

Average recall = 0.95
