For Query: find all discussions of optimal implementations of sort algorithms for database management applications

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  R  	  1.000  	  0.600
04  	  N  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  R  	  0.667  	  0.800
07  	  N  	  0.571  	  0.800
08  	  R  	  0.625  	  1.000
09  	  R  	  0.667  	  1.000
10  	  R  	  0.700  	  1.000
11  	  N  	  0.636  	  1.000
12  	  R  	  0.667  	  1.000
13  	  R  	  0.692  	  1.000
14  	  N  	  0.643  	  1.000
15  	  R  	  0.667  	  1.000
16  	  N  	  0.625  	  1.000
17  	  N  	  0.588  	  1.000
18  	  N  	  0.556  	  1.000
19  	  N  	  0.526  	  1.000
20  	  R  	  0.550  	  1.000
21  	  R  	  0.571  	  1.000
22  	  N  	  0.545  	  1.000
23  	  R  	  0.565  	  1.000
24  	  N  	  0.542  	  1.000
25  	  N  	  0.520  	  1.000
26  	  N  	  0.500  	  1.000
27  	  N  	  0.481  	  1.000
28  	  N  	  0.464  	  1.000
29  	  N  	  0.448  	  1.000
30  	  R  	  0.467  	  1.000
31  	  N  	  0.452  	  1.000
32  	  N  	  0.438  	  1.000
33  	  N  	  0.424  	  1.000
34  	  N  	  0.412  	  1.000
35  	  N  	  0.400  	  1.000
36  	  N  	  0.389  	  1.000
37  	  N  	  0.378  	  1.000
38  	  N  	  0.368  	  1.000
39  	  N  	  0.359  	  1.000
40  	  N  	  0.350  	  1.000
41  	  N  	  0.341  	  1.000
42  	  R  	  0.357  	  1.000
43  	  R  	  0.372  	  1.000
44  	  N  	  0.364  	  1.000
45  	  N  	  0.356  	  1.000
46  	  N  	  0.348  	  1.000
47  	  N  	  0.340  	  1.000
48  	  N  	  0.333  	  1.000
49  	  N  	  0.327  	  1.000
50  	  N  	  0.320  	  1.000
51  	  N  	  0.314  	  1.000
52  	  N  	  0.308  	  1.000
53  	  N  	  0.302  	  1.000
54  	  N  	  0.296  	  1.000
55  	  N  	  0.291  	  1.000
56  	  N  	  0.286  	  1.000
57  	  N  	  0.281  	  1.000
58  	  N  	  0.276  	  1.000
59  	  N  	  0.271  	  1.000
60  	  N  	  0.267  	  1.000
61  	  N  	  0.262  	  1.000
62  	  N  	  0.258  	  1.000
63  	  N  	  0.254  	  1.000
64  	  R  	  0.266  	  1.000
65  	  N  	  0.262  	  1.000
66  	  N  	  0.258  	  1.000
67  	  N  	  0.254  	  1.000
68  	  R  	  0.265  	  1.000
69  	  N  	  0.261  	  1.000
70  	  N  	  0.257  	  1.000
71  	  N  	  0.254  	  1.000
72  	  N  	  0.250  	  1.000
73  	  N  	  0.247  	  1.000
74  	  N  	  0.243  	  1.000
75  	  R  	  0.253  	  1.000
76  	  N  	  0.250  	  1.000
77  	  N  	  0.247  	  1.000
78  	  N  	  0.244  	  1.000
79  	  N  	  0.241  	  1.000
80  	  N  	  0.237  	  1.000
81  	  N  	  0.235  	  1.000
82  	  N  	  0.232  	  1.000
83  	  N  	  0.229  	  1.000
84  	  N  	  0.226  	  1.000
85  	  R  	  0.235  	  1.000
86  	  N  	  0.233  	  1.000
87  	  N  	  0.230  	  1.000
88  	  N  	  0.227  	  1.000
89  	  N  	  0.225  	  1.000
90  	  N  	  0.222  	  1.000
91  	  N  	  0.220  	  1.000
92  	  N  	  0.217  	  1.000
93  	  N  	  0.215  	  1.000
94  	  N  	  0.213  	  1.000
95  	  N  	  0.211  	  1.000
96  	  N  	  0.208  	  1.000
97  	  R  	  0.216  	  1.000
98  	  N  	  0.214  	  1.000
99  	  N  	  0.212  	  1.000
100  	  N  	  0.210  	  1.000


Average precision = 0.38643262405744855

Average recall = 0.97
