For Query: parallel algorithms

RANK 	 R/N 	Precision 	  Recall

01  	  R  	  1.000  	  0.200
02  	  R  	  1.000  	  0.400
03  	  N  	  0.667  	  0.400
04  	  R  	  0.750  	  0.600
05  	  N  	  0.600  	  0.600
06  	  N  	  0.500  	  0.600
07  	  R  	  0.571  	  0.800
08  	  N  	  0.500  	  0.800
09  	  N  	  0.444  	  0.800
10  	  N  	  0.400  	  0.800
11  	  R  	  0.455  	  1.000
12  	  N  	  0.417  	  1.000
13  	  N  	  0.385  	  1.000
14  	  R  	  0.429  	  1.000
15  	  N  	  0.400  	  1.000
16  	  N  	  0.375  	  1.000
17  	  N  	  0.353  	  1.000
18  	  N  	  0.333  	  1.000
19  	  N  	  0.316  	  1.000
20  	  N  	  0.300  	  1.000
21  	  R  	  0.333  	  1.000
22  	  N  	  0.318  	  1.000
23  	  N  	  0.304  	  1.000
24  	  N  	  0.292  	  1.000
25  	  N  	  0.280  	  1.000
26  	  N  	  0.269  	  1.000
27  	  N  	  0.259  	  1.000
28  	  N  	  0.250  	  1.000
29  	  R  	  0.276  	  1.000
30  	  N  	  0.267  	  1.000
31  	  N  	  0.258  	  1.000
32  	  N  	  0.250  	  1.000
33  	  N  	  0.242  	  1.000
34  	  N  	  0.235  	  1.000
35  	  N  	  0.229  	  1.000
36  	  N  	  0.222  	  1.000
37  	  N  	  0.216  	  1.000
38  	  N  	  0.211  	  1.000
39  	  N  	  0.205  	  1.000
40  	  N  	  0.200  	  1.000
41  	  N  	  0.195  	  1.000
42  	  N  	  0.190  	  1.000
43  	  N  	  0.186  	  1.000
44  	  N  	  0.182  	  1.000
45  	  N  	  0.178  	  1.000
46  	  N  	  0.174  	  1.000
47  	  N  	  0.170  	  1.000
48  	  N  	  0.167  	  1.000
49  	  N  	  0.163  	  1.000
50  	  N  	  0.160  	  1.000
51  	  N  	  0.157  	  1.000
52  	  N  	  0.154  	  1.000
53  	  N  	  0.151  	  1.000
54  	  N  	  0.148  	  1.000
55  	  N  	  0.145  	  1.000
56  	  N  	  0.143  	  1.000
57  	  N  	  0.140  	  1.000
58  	  N  	  0.138  	  1.000
59  	  N  	  0.136  	  1.000
60  	  N  	  0.133  	  1.000
61  	  N  	  0.131  	  1.000
62  	  N  	  0.129  	  1.000
63  	  N  	  0.127  	  1.000
64  	  N  	  0.125  	  1.000
65  	  N  	  0.123  	  1.000
66  	  N  	  0.121  	  1.000
67  	  N  	  0.119  	  1.000
68  	  N  	  0.118  	  1.000
69  	  N  	  0.116  	  1.000
70  	  N  	  0.114  	  1.000
71  	  N  	  0.113  	  1.000
72  	  N  	  0.111  	  1.000
73  	  N  	  0.110  	  1.000
74  	  N  	  0.108  	  1.000
75  	  N  	  0.107  	  1.000
76  	  N  	  0.105  	  1.000
77  	  N  	  0.104  	  1.000
78  	  N  	  0.103  	  1.000
79  	  N  	  0.101  	  1.000
80  	  N  	  0.100  	  1.000
81  	  N  	  0.099  	  1.000
82  	  N  	  0.098  	  1.000
83  	  N  	  0.096  	  1.000
84  	  N  	  0.095  	  1.000
85  	  N  	  0.094  	  1.000
86  	  N  	  0.093  	  1.000
87  	  N  	  0.092  	  1.000
88  	  N  	  0.091  	  1.000
89  	  N  	  0.090  	  1.000
90  	  N  	  0.089  	  1.000
91  	  N  	  0.088  	  1.000
92  	  N  	  0.087  	  1.000
93  	  N  	  0.086  	  1.000
94  	  N  	  0.085  	  1.000
95  	  N  	  0.084  	  1.000
96  	  N  	  0.083  	  1.000
97  	  N  	  0.082  	  1.000
98  	  N  	  0.082  	  1.000
99  	  N  	  0.081  	  1.000
100  	  N  	  0.080  	  1.000


Average precision = 0.22581674102571558

Average recall = 0.96
